ISO_A3,NAM_0,year,total_vol,total_fp,building_height,total_surface_area
ABW,Aruba (Neth.),2030,158618660.0,21770653.0,7.285893537506661,21906634.09691112
AFG,Afghanistan,2030,2619632106.0,674637817.0,3.8830199552836513,675041243.9944979
AGO,Angola,2030,6693907805.0,1452982925.0,4.607010646735577,1453685365.3692944
AIA,Anguilla (U.K.),2030,11960752.0,4131612.0,2.894935923315161,4155149.412138012
ALA,Aaland (Fin.),2030,10751526.0,3440894.0,3.1246315637738333,3464078.3248763764
ALB,Albania,2030,1033792422.0,250717456.0,4.123336438129781,250978612.62620258
AND,Andorra,2030,10497620.0,2418443.0,4.340652229554304,2445444.190390948
ARE,United Arab Emirates,2030,4988982680.0,688824258.0,7.24275114016092,689584615.389588
ARG,Argentina,2030,23534381216.0,4042541466.0,5.821679607726255,4044022058.4609056
ARM,Armenia,2030,1477822219.0,227877768.0,6.485153123844885,228269357.6501193
ASM,American Samoa (U.S.),2030,16538206.0,4121014.0,4.013139969920025,4153601.1472895364
ATF,French Southern and Antarctic Lands (Fr.),2030,211410.0,84541.0,2.500680143362392,87449.38453883455
ATG,Antigua and Barbuda,2030,56914043.0,13436979.0,4.235627889274814,13499084.292247562
AUS,Australia,2030,30401264952.0,5420577051.0,5.6084923553280195,5422228742.31293
AUS,Australia,2030,30401264952.0,,0.0,0.0
AUS,Ashmore and Cartier Islands (Aus.),2030,,5420577051.0,,
AUS,Ashmore and Cartier Islands (Aus.),2030,,,0.0,0.0
AUT,Austria,2030,5266651525.0,1224002839.0,4.3028098932375105,1224604987.1583266
AZE,Azerbaijan,2030,4655245430.0,872515842.0,5.335427972664822,873146241.577244
BDI,Burundi,2030,1830608714.0,563334363.0,3.24959532781067,563642875.2370101
BEL,Belgium,2030,8990919912.0,1611016330.0,5.580899302243572,1611912342.666548
BEN,Benin,2030,3842243842.0,854330203.0,4.497375638257752,854856016.8659451
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2030,383444.0,153353.0,2.5004010355193573,157269.65934115017
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2030,383444.0,609123.0,0.6295017590864243,611088.2121412657
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2030,383444.0,4095031.0,0.09363640959006171,4095788.9374057413
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2030,1850149.0,153353.0,12.064641708998193,172251.2051182693
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2030,1850149.0,609123.0,3.0373980296262,618605.311049203
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2030,1850149.0,4095031.0,0.45180341736118723,4098688.1106427396
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2030,21701192.0,153353.0,141.51136267304847,375018.1619555751
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2030,21701192.0,609123.0,35.62694562510363,720345.0976161794
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2030,21701192.0,4095031.0,5.299396268306638,4137926.82094379
BFA,Burkina Faso,2030,5470042198.0,1552871936.0,3.5225327157950517,1553427178.6871088
BGD,Bangladesh,2030,10580187732.0,3091079357.0,3.4228133638951412,3091840556.137799
BGR,Bulgaria,2030,4055249153.0,901603595.0,4.49781830450665,902143813.8278052
BHR,Bahrain,2030,630004563.0,81510221.0,7.729148016909438,81789345.30259669
BHS,The Bahamas,2030,196530709.0,42784876.0,4.593462161722755,42905059.61787918
BIH,Bosnia and Herzegovina,2030,1367492305.0,380318372.0,3.5956514480452184,380598858.02636606
BLM,Saint-Barth̩lemy (Fr.),2030,4218489.0,1174257.0,3.5924750714707256,1189828.6750912794
BLR,Belarus,2030,6296173437.0,1306954821.0,4.8174377077415445,1307651457.7584891
BLZ,Belize,2030,200103796.0,55301609.0,3.6184082094247927,55409242.24528664
BMU,Bermuda (U.K.),2030,33558345.0,6837571.0,4.9079336799574005,6888905.531328396
BOL,Bolivia,2030,4004234865.0,747666986.0,5.355639529334521,748252753.7154331
BRA,Brazil,2030,98961035297.0,16468346986.0,6.009166274012099,16471431588.576017
BRB,Barbados,2030,215673631.0,40731376.0,5.295024430306504,40866549.793029144
BRN,Brunei Darussalam,2030,283533827.0,54998538.0,5.155297528090656,55151466.80631003
BTN,Bhutan,2030,115781818.0,38233977.0,3.0282441714080646,38308875.93088834
BVT,Bouvet Island (Nor.),2030,0.0,0.0,0.0,0.0
BWA,Botswana,2030,2268351378.0,523611014.0,4.332130756134171,524007534.7640536
CAF,Central African Republic,2030,903060318.0,217052595.0,4.160559877203956,217297780.20430943
CAN,Canada,2030,28452117156.0,5162445785.0,5.511363865296262,5164029754.547105
CCK,Cocos (Keeling) Islands (Aus.),2030,74448.0,29779.0,2.5000167903556196,31504.67088407214
CHE,Switzerland,2030,4591049453.0,828426062.0,5.5418940368875065,829064097.8558781
CHL,Chile,2030,7008575848.0,1359364769.0,5.155772760798982,1360125133.3805346
CHN,China,2030,563095010895.0,91518867942.0,6.152775089524282,91526313313.13226
CIV,C̫te d'Ivoire,2030,6842045862.0,1402787849.0,4.8774630225642905,1403518567.2843268
CMR,Cameroon,2030,6460863424.0,1370369500.0,4.714687114679654,1371067622.6200013
COD,Democratic Republic of Congo,2030,13455153011.0,3080771353.0,4.3674623882417025,3081741011.700398
COG,Congo,2030,1400530002.0,256734660.0,5.455165274528963,257084291.1801392
COK,Cook Islands (N.Z.),2030,3210235.0,1279179.0,2.5096057705762838,1290532.536387157
COL,Colombia,2030,10115010792.0,1608395540.0,6.288882641393049,1609404397.6969013
COM,Comoros,2030,127161839.0,24530295.0,5.183869129988041,24632993.80869452
CPV,Cabo Verde,2030,135526956.0,25533924.0,5.307721445399461,25641206.008243017
CRI,Costa Rica,2030,2016916192.0,409081290.0,4.930355509536992,409480170.7111807
CUB,Cuba,2030,2067392789.0,400224952.0,5.1655769553318605,400638314.3407806
CUW,Cura̤ao (Neth.),2030,248783380.0,34868964.0,7.134808478967141,35037488.028864734
CXR,Christmas Island (Aus.),2030,1049970.0,329128.0,3.1901570209766414,336448.7312938693
CYM,Cayman Islands (U.K.),2030,42465684.0,8822714.0,4.813222325919212,8879900.96051573
CYP,Cyprus,2030,834718266.0,146653106.0,5.691787162012102,146928817.1157807
CZE,Czech Republic,2030,6148391311.0,1440198085.0,4.269128930969242,1440846137.7784026
DEU,Germany,2030,54931322627.0,10132910653.0,5.421080330036934,10135093447.951784
DJI,Djibouti,2030,141927498.0,20815105.0,6.8184858063411165,20939538.476565916
DMA,Dominica,2030,20572154.0,5246952.0,3.920781817710549,5282876.1261225585
DNK,Denmark,2030,3940493077.0,871919815.0,4.519329655330749,872453607.277494
DOM,Dominican Republic,2030,2881171048.0,578012298.0,4.984618939716746,578491656.5676618
DZA,Algeria,2030,12158243912.0,2336663069.0,5.20325076956998,2337669149.648789
