ISO_A3,NAM_0,year,total_vol,total_fp,building_height,total_surface_area
ABW,Aruba (Neth.),2025,156937716.0,21422894.0,7.325701000060963,21558521.653997168
AFG,Afghanistan,2025,2547554983.0,646983496.0,3.937588823749532,647384119.9938685
AGO,Angola,2025,6503385257.0,1384303551.0,4.697947391886738,1385002722.644809
AIA,Anguilla (U.K.),2025,11585816.0,3987392.0,2.9056124905702774,4010600.2370491335
ALA,Aaland (Fin.),2025,10541073.0,3360549.0,3.136711590873991,3383549.628116414
ALB,Albania,2025,1020272195.0,245862474.0,4.149767869821403,246122747.47996393
AND,Andorra,2025,10263487.0,2332122.0,4.400921992931759,2359005.096744972
ARE,United Arab Emirates,2025,4905997210.0,664994478.0,7.3775006745243985,665755466.8064984
ARG,Argentina,2025,23343804395.0,3988697959.0,5.852487361778701,3990176441.0334253
ARM,Armenia,2025,1469431415.0,225575514.0,6.5141441504151905,225966862.19394413
ASM,American Samoa (U.S.),2025,16402401.0,4081414.0,4.018803532305226,4113889.967009981
ATF,French Southern and Antarctic Lands (Fr.),2025,210328.0,84108.0,2.500689589575308,87008.93788970725
ATG,Antigua and Barbuda,2025,56579193.0,13315003.0,4.249281280672637,13377025.048426729
AUS,Australia,2025,29889380037.0,5250802471.0,5.692345160968825,5252452395.448297
AUS,Australia,2025,29889380037.0,,0.0,0.0
AUS,Ashmore and Cartier Islands (Aus.),2025,,5250802471.0,,
AUS,Ashmore and Cartier Islands (Aus.),2025,,,0.0,0.0
AUT,Austria,2025,5165738399.0,1188203597.0,4.347519576647099,1188803038.7245069
AZE,Azerbaijan,2025,4617918992.0,860785097.0,5.364775724038819,861414688.6099042
BDI,Burundi,2025,1710660389.0,516603936.0,3.311357637430002,516904990.3696853
BEL,Belgium,2025,8855598821.0,1567990211.0,5.647738588464951,1568884764.3606024
BEN,Benin,2025,3704152148.0,805422442.0,4.5990178008970855,805944521.8661643
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2025,383444.0,153353.0,2.5004010355193573,157269.65934115017
