ISO_A3,NAM_0,year,total_vol,total_fp,building_height,total_surface_area
KIR,Kiribati,2000,1726530.0,690389.0,2.5008075157628524,698700.6488859336
KNA,Saint Kitts and Nevis,2000,22832063.0,5540043.0,4.121279022563543,5578844.505596303
KOR,Republic of Korea,2000,22340050320.0,2293003988.0,9.742700159664965,2294870117.3066435
KWT,Kuwait,2000,1900265222.0,173217002.0,10.970431309046672,173794537.856368
LAO,Lao People's Democratic Republic,2000,676983634.0,187584471.0,3.6089535044721264,187782186.0457965
LBN,Lebanon,2000,1610159752.0,223486623.0,7.204725412133504,223917450.27644065
LBR,Liberia,2000,673249474.0,122425709.0,5.499249132386074,122669097.3016342
LBY,Libya,2000,3599549314.0,663792279.0,5.422704402983874,664351124.8379737
LCA,Saint Lucia,2000,50185160.0,10242179.0,4.899851877222611,10304903.77665927
LIE,Liechtenstein,2000,21057120.0,3570558.0,5.89743115781903,3615132.9554044753
LKA,Sri Lanka,2000,2772098983.0,559392184.0,4.955555444442892,559861008.7469192
LSO,Lesotho,2000,501306764.0,122822579.0,4.081552171282774,123003514.77694122
LTU,Lithuania,2000,1781334520.0,389556867.0,4.572720110720061,389917877.6742693
LUX,Luxembourg,2000,292273830.0,48076988.0,6.079287454530221,48245597.2110417
LVA,Latvia,2000,868409701.0,221573420.0,3.9192864423900664,221806779.68349546
MAC,"Macau SAR, China",2000,109485686.0,3982811.0,27.489550972918373,4202254.381166147
MAF,Saint-Martin (Fr.),2000,10836747.0,2139747.0,5.064499214159431,2169380.1427062456
MAR,Morocco,2000,3498933070.0,580233388.0,6.0302167065229275,580814412.2632279
MCO,Monaco,2000,12111955.0,562072.0,21.54876065699768,626693.6829719965
MDA,Moldova,2000,1873601992.0,412168932.0,4.5457137754380765,412538079.30685127
MDG,Madagascar,2000,1979376164.0,511890161.0,3.8667986118998683,512240106.1157741
MDV,Maldives,2000,8720034.0,2526487.0,3.4514462176136274,2548431.194081082
MEX,Mexico,2000,41074290248.0,6400137693.0,6.417719777017304,6402191385.4204035
MHL,Marshall Islands,2000,3241410.0,1080347.0,3.0003415569256915,1092821.1891125857
MKD,North Macedonia,2000,625881119.0,133530592.0,4.687173999797739,133747243.37739478
MLI,Mali,2000,2791779652.0,616958522.0,4.525068626898714,617408108.3790904
MLT,Malta,2000,244782763.0,29787073.0,8.217751472257781,29966474.84663605
MMR,Myanmar,2000,4141372049.0,945543154.0,4.3798868739945425,946081874.5743648
MNE,Montenegro,2000,148195748.0,26641781.0,5.562531573996498,26756626.53294801
MNG,Mongolia,2000,755927888.0,132606730.0,5.700524309739031,132869307.54060708
MNP,Northern Mariana Islands (U.S.),2000,14953802.0,4187916.0,3.570702468721913,4217144.911089722
MOZ,Mozambique,2000,3933865542.0,903692630.0,4.353101277366841,904216072.6824915
MRT,Mauritania,2000,430500386.0,82189716.0,5.237886282512522,82379659.65760176
MSR,Montserrat (U.K.),2000,1826825.0,577108.0,3.1654820241618555,586726.9660141115
MTQ,France,2000,185923926.0,30537710.0,6.088338844006312,30672288.920233205
MUS,Mauritius,2000,290342833.0,49515475.0,5.863678637839988,49680519.33671045
MWI,Malawi,2000,2099798895.0,598624443.0,3.507706575556588,598967732.4613317
MYS,Malaysia,2000,9977683157.0,1443525736.0,6.912023047575232,1444576190.9562364
MYT,France,2000,49657471.0,8014828.0,6.1957001447816475,8084989.2770994585
NAM,Namibia,2000,786841437.0,164558443.0,4.781531853701362,164803793.6028467
NCL,New Caledonia (Fr.),2000,160765991.0,30501300.0,5.2707914416762565,30617738.070026975
NER,Niger,2000,1346848949.0,320565194.0,4.201482176508533,320866092.96918863
NFK,Norfolk Island (Aus.),2000,1488980.0,567551.0,2.623517534107067,575456.8106609605
NGA,Nigeria,2000,26585264858.0,4434031379.0,5.995732232277466,4435628366.811665
NIC,Nicaragua,2000,995803255.0,193453200.0,5.147515032059434,193739581.9051291
NIU,Niue (N.Z.),2000,81285.0,32508.0,2.5004614248800294,34311.33028332083
NLD,Netherlands,2000,9990877496.0,1492917971.0,6.692181144626331,1493952268.922241
NOR,Norway,2000,1288275755.0,283343193.0,4.5466973861623705,283649327.6111217
NPL,Nepal,2000,2142687686.0,562857901.0,3.806800405916306,563219160.6706595
NRU,Nauru,2000,2028420.0,522884.0,3.8792925390717636,534104.577220164
NZL,New Zealand,2000,5528034677.0,710112892.0,7.784726540354093,710942679.811586
OMN,Oman,2000,1698529103.0,300795862.0,5.646783475365761,301187601.22083443
PAK,Pakistan,2000,16919569328.0,3452295183.0,4.900962528151232,3453447031.4293966
PAN,Panama,2000,1168646172.0,191882226.0,6.090434723224443,192219688.60770905
PCN,Pitcairn Islands (U.K.),2000,10367.0,4144.0,2.501689189189189,4788.174036413444
PER,Peru,2000,6624652971.0,1239392528.0,5.3450806111362965,1240145222.4043984
PHL,Philippines,2000,8935217685.0,1726060227.0,5.176654641147699,1726920501.7105312
PLW,Palau,2000,2316900.0,877240.0,2.641124435730245,887134.8238631263
PNG,Papua New Guinea,2000,436580586.0,135658483.0,3.2182328472595407,135808417.2779936
POL,Poland,2000,14784037917.0,3313468717.0,4.4618009643940155,3314496050.9058805
PRI,Puerto Rico (U.S.),2000,2406321243.0,366185430.0,6.571318916211385,366688424.30299133
PRK,D. P. R. of Korea,2000,1960214852.0,263771001.0,7.431502494847794,264253781.97001562
PRT,Portugal,2000,74734636.0,20266023.0,3.687681396591724,20332427.521154303
PRT,Portugal,2000,74734636.0,976394271.0,0.0765414527918712,976403837.857468
PRT,Portugal,2000,74734636.0,11907031.0,6.276513095497946,11993663.365456915
PRT,Portugal,2000,5227286659.0,20266023.0,257.93352050375154,24910662.836436257
PRT,Portugal,2000,5227286659.0,976394271.0,5.353663795718851,977063421.3309258
PRT,Portugal,2000,5227286659.0,11907031.0,439.00840259843113,17966499.974874523
PRT,Portugal,2000,53136202.0,20266023.0,2.621935344689977,20313236.504187915
PRT,Portugal,2000,53136202.0,976394271.0,0.054420845736404364,976401073.0197613
PRT,Portugal,2000,53136202.0,11907031.0,4.46259038042313,11968626.467871904
PRY,Paraguay,2000,2108933165.0,467082554.0,4.515118680711847,467472878.6552226
PSE,West Bank and Gaza,2000,1229871087.0,165591340.0,7.427146172016,165973636.8968932
PYF,French Polynesia (Fr.),2000,75264655.0,13498144.0,5.575926216226468,13580087.411007328
QAT,Qatar,2000,975484418.0,108724732.0,8.97205631189783,109098942.66002293
REU,France,2000,372989814.0,50248048.0,7.422971216712737,50458521.472093716
ROU,Romania,2000,7274897025.0,1680469825.0,4.329085186043136,1681179683.002036
RUS,Russian Federation,2000,57881980520.0,9681649372.0,5.978524763290715,9684002408.689512
RWA,Rwanda,2000,1178784510.0,290130297.0,4.062948689567571,290407117.25880164
SAU,Saudi Arabia,2000,13307243713.0,1758756308.0,7.5662805884304465,1760025552.4353468
