Countries,Start_Year,End_Year,ΔTotal,Δcement_CS/cement_consumption(volume),Δcement_consumption(volume)/cement_production,Δcement_production/GDP,ΔGDP/Population,ΔPopulation/energy_consumption,Δenergy_consumption
Algeria,1990,2022,3.0411462159999996,-0.046236233887295766,0.0,0.35790836787374875,1.5343677492882413,-0.45864758990120985,1.6537539226265154
Argentina,1990,2022,1.2485395019999999,0.01111915119326308,1.5460941232926074e-06,-1.4427671418866792,2.0563493635915577,-0.5686923813813911,1.1925289643891268
Australia,1990,2022,1.705391935,1.035408550505553,0.0035825782513895965,-2.585042241409298,2.4417680844447074,-0.10194326272548793,0.9116182259331362
Austria,1990,2022,0.8833098129999999,0.38075056387750456,0.24052105272417748,-1.3894100266636513,1.3917733233913303,0.06246191872638327,0.19721298094425538
Azerbaijan,1990,2022,0.31090566199999997,-0.015521331408041463,-0.07461292092789419,-0.3143458657903487,0.601971289763393,0.21003758399647354,-0.09662309363358225
Bangladesh,1990,2022,5.891873222,0.6026842803012183,-3.3076195851221146,3.539988168191364,4.172209989317337,-2.686623123704762,3.571233493016957
Belarus,1992,2022,0.40444589700000005,0.018592938349692223,1.4871183967971406e-16,-1.008421470920945,1.4624210604737327,0.13539021236145166,-0.20353684326393168
Belgium,1990,2022,0.944094182,0.36997082502416045,0.4640894934087181,-1.5184144831400286,1.3804923819591013,0.10825928867969357,0.1396966760683548
Brazil,1990,2022,6.635707881999999,-0.4930609361246967,-0.05372342014053717,-5.215541595520043,9.673469533792879,-3.8899171411464724,6.61448144113887
Bulgaria,1990,2022,-0.1774935270000001,0.7398260824003872,0.03605014881651476,-2.3047888123384013,1.6250382151289717,0.0405648189760413,-0.3141839799835138
Canada,1990,2022,2.3664123540000004,0.938488762652047,0.44981464767844886,-3.4010106193118648,3.220292949087026,0.25223232257000067,0.9065942913243433
Chile,1990,2022,0.891336406,-0.05436622220589056,0.2755802091737935,-0.9510856453363031,1.3389903633249878,-0.5701717138677692,0.8523894149111816
China,1990,2022,317.12677729,20.732101762582204,-0.11715231724713296,-197.1766557413098,466.0717288351332,-189.77099343572493,217.3877481865665
Colombia,1990,2022,1.6775745460000002,-0.004939174779825313,0.08844649022990797,-2.3866097220170523,3.0452717971508307,-0.8332695986524286,1.7686747540685672
Croatia,1992,2022,0.23162529200000004,0.0756372009822918,0.04281386934298129,-0.3275804042016143,0.4801941569432392,-0.07607312258087402,0.03663359151397618
Cyprus,1990,2022,0.300876097,0.0023374693884617263,0.18197138819584746,-0.27391344623718344,0.2814680773768161,0.0023529591400679203,0.10665964913599019
Czechia,1990,2022,0.43004399400000004,1.8040497137601845,0.0061764260171684095,-4.461210644610321,3.030447397710684,0.3096368496109709,-0.25905574848868723
Denmark,1990,2022,0.40470871699999994,0.20792657708376386,0.06043358745047144,-0.4952667779682995,0.5494684842896733,0.12431142720387331,-0.04216458105948248
Ecuador,1990,2022,0.47493168199999997,-0.02172044704696153,-0.06366733918497741,-0.7263866466059419,0.9428003324750056,-0.28981973413489337,0.6337255164977686
Egypt,1990,2022,4.246800406999999,0.2901083216038135,-0.6934312390635563,-3.1031981454458193,5.61824257709442,-1.2084911989434026,3.343570091754545
Estonia,1993,2022,0.06820329999999998,0.018876008248091262,0.14098577544251462,-0.4197971697635356,0.34308460096706,-0.0022333766426579967,-0.012712538251472224
Finland,1990,2022,0.14324141099999999,0.2221239348766002,-0.067212262439122,-0.30380251650981094,0.2463086467244838,0.038582438399711164,0.007241169948137749
France,1990,2022,1.6451823940000008,4.056888942545619,-0.22577765893956103,-6.395920204060586,3.3619672327019523,1.5548850504963299,-0.7068609687437543
Germany,1990,2022,3.6174925889999994,5.609077027260389,-1.1490971293055427e-05,-9.540424756110518,7.065103105340774,2.332421710884854,-1.8486730074042046
Greece,1990,2022,-0.003509921000000027,0.373732470358242,0.941460925919128,-2.7511448690953353,1.3924163523988422,-0.14195329659836217,0.18197849601748567
Hungary,1990,2022,0.00030968700000000293,0.40684399385440423,-1.1182163314454542e-06,-1.7169091947025288,1.3687864523501436,0.09287702225431435,-0.1512874685400019
Iceland,1990,2012,0.027149753000000002,0.006253765380721239,0.014776326832738976,-0.026125299429280525,0.023249503066665775,-0.02684518939192953,0.035840646541084056
India,1990,2022,60.826834176,-1.8327330583242702,0.1813817878679267,-9.090246280058546,56.701700921531845,-30.331422841514055,45.19815364649709
Indonesia,1990,2022,11.527592736999999,0.9385217894341878,0.33773976599027516,-6.553866705008645,14.046206775816007,-7.305824068832415,10.064815179600593
Iraq,1990,2022,4.0683967679999995,0.28677490607490824,0.0,1.8691241409534032,-1.9049770512808604,-0.2638587824682549,4.0813335547208025
Ireland,1990,2022,0.526683824,0.07869656227267603,-0.01708357561889017,-0.9269070080241866,1.171081537225324,-0.06082547889092518,0.2817217870360018
Israel,1990,2022,1.207597883,0.37080492883723454,2.478808334367534e-16,-1.554155892651666,1.5890583231789226,-0.1611970630623862,0.9630875866978948
Italy,1990,2022,-0.8288535390000007,3.573812188174118,0.42648570618254955,-8.907418474169756,3.79828263021861,0.894369162378471,-0.6143847517839972
Japan,1990,2022,3.700959339999997,16.48396154763457,-3.3889952175543923,-15.630805514490657,5.951534485604841,1.4022312068245066,-1.1169671680188775
Kazakhstan,1990,2022,0.996144755,0.1721853871792114,0.07989563676769086,-3.5689489099913327,3.941163144975371,0.35223904628826835,0.019610449780791784
Kuwait,1990,2022,1.2107299679999999,0.3241802598805851,-0.00010492337958834452,-0.4565359620426958,0.7955294425855741,-0.376450086708665,0.92411123766479
