Region,End_Year,Countries,Start_Year,ΔTotal,Δtotal_CE/energy_consumption,Δenergy_consumption/GDP,ΔGDP/Population,Δbuilt_surface/Population,Δcement_CS/built_surface,ΔTotal_global_total,ΔTotal_%
Africa,1980,AlgeriaEgyptMoroccoSouth Africa,1975,30.211235933971185,-1.6098983703537897,-124.89691608907148,229.69447859425645,8.632466620321821,-81.60889482118174,-949.9543140758562,-3.18028303954402
Africa,1985,AlgeriaEgyptMoroccoSouth Africa,1980,43.09962411792107,11.177426830806295,147.87413085075698,-65.95736060245773,0.5828692113320697,-50.57744217251661,941.3761276079474,4.578363828647103
Africa,1990,AlgeriaEgyptMoroccoSouth Africa,1985,-21.916247650611652,-12.567651820548363,-132.1713840750389,130.7314964944196,3.8842077242970587,-11.792915973740904,-343.3033401311264,6.383930794917589
Africa,1995,AlgeriaEgyptMoroccoSouth Africa,1990,-34.8264485626722,-1.4944966056676883,-40.714066693763314,33.63581667155618,0.16595469699225562,-26.41965663178967,285.8804017302083,-12.182174207079328
Africa,2000,AlgeriaEgyptMoroccoSouth Africa,1995,2.2333214831606227,0.29564389395582746,19.685308478814516,-19.0723923038182,-15.341508705387515,16.66627011959606,-610.2579210788489,-0.36596353869728215
Africa,2005,AlgeriaEgyptMoroccoSouth Africa,2000,-29.93007111061417,6.8292224956772545,-140.67290318215336,169.14520232008562,-6.055501576726061,-59.17609116749758,-950.1427150430968,3.1500605789790845
Africa,2010,AlgeriaEgyptMoroccoSouth Africa,2005,-21.046198602023125,-0.7726543159715745,-94.60010056345742,120.56461519700481,-7.087021312596052,-39.15103760700302,-221.19849205601577,9.514621192215648
Africa,2015,AlgeriaEgyptMoroccoSouth Africa,2010,-21.145037946765278,-2.422088699323589,33.743793269063694,-47.48178889421668,-4.421306273193247,-0.5636473490954383,-534.3372911986378,3.9572454131607095
Africa,2020,AlgeriaEgyptMoroccoSouth Africa,2015,1.031331572198372,-0.4839323239460207,2.6934608318543023,-19.69339182001503,-13.938350669702757,32.45354555400788,-793.9062155785248,-0.1299059702469811
Americas,1980,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1975,-355.7896934646776,-39.97038311470191,-147.53690195207875,249.79068429335138,10.315215233386034,-428.38830792463403,-949.9543140758562,37.45334782871115
Americas,1985,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1980,-56.513367343219066,-65.83622848444546,-7187.83578667886,7195.697831422388,3.5293498935998433,-2.068533495900807,941.3761276079474,-6.0032717726569595
Americas,1990,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1985,14.380494793359304,10.384578664988691,-2129.630927222066,2155.9688295198666,5.51266807325036,-27.854654242680265,-343.3033401311264,-4.188859563051907
Americas,1995,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1990,50.35092990654419,-20.649781227604603,-134.77545887279177,201.17858619472523,-6.393096507655823,10.99068031987121,285.8804017302083,17.612585403479837
Americas,2000,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,1995,-79.96539935274734,6.796301529674491,-7.9160542539762595,39.788504309913655,-12.632114451243226,-106.00203648711592,-610.2579210788489,13.103541402851427
Americas,2005,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,2000,31.6535522369307,-3.256395618829444,-116.92683749450165,140.23754116948433,-2.9483257019373363,14.547569882714868,-950.1427150430968,-3.3314523950746655
Americas,2010,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,2005,-77.71857824725498,13.6743239120628,-225.82706513891526,247.99640486804373,-6.450011651365595,-107.11223023708084,-221.19849205601577,35.13522064498239
Americas,2015,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,2010,18.857660000163946,-0.1172052349758887,11.620754786549567,15.673360566704547,-4.147810889839324,-4.171439228274825,-534.3372911986378,-3.529167870328123
Americas,2020,ArgentinaBrazilCanadaChileColombiaEcuadorMexicoPeru,2015,-102.78634527150768,-39.07476062327541,20.41048765457885,-67.61535004497864,8.918867838129891,-25.425590095962505,-793.9062155785248,12.946912778180804
Asia,1980,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanMalaysiaPakistanPhilippinesQatarSaudi ArabiaSingaporeSri LankaThailandTurkmenistanUzbekistan,1975,-756.4294956912132,-83.71904091275867,-456.2452460126466,893.4839689197104,7.689833223837361,-1117.639010909354,-949.9543140758562,79.62798678661619
Asia,1985,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaPakistanPhilippinesQatarSaudi ArabiaSingaporeSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,1980,30.388893132548844,72.29982848423853,983.0991407319998,-198.90619052363343,51.11622227360933,-877.2201078336655,941.3761276079474,3.2281350930119226
Asia,1990,AzerbaijanBangladeshChinaCyprusHong KongIndiaIndonesiaIraqIsraelJapanKazakhstanKuwaitMalaysiaOmanPakistanPhilippinesQatarSaudi ArabiaSingaporeSri LankaThailandTurkmenistanUnited Arab EmiratesUzbekistan,1985,-148.91626609554373,-16.205844289857552,-28919.763471045684,29164.174564039582,-45.160325797791536,-331.9611890017921,-343.3033401311264,43.377459141138694
