Countries,Year,ΔTotal,Δcement_CS/cement_consumption(volume),Δcement_consumption(volume)/cement_production,Δcement_production/GDP,ΔGDP/Population,ΔPopulation/energy_consumption,Δenergy_consumption
Algeria,1991,-0.006601454999999978,0.020503195005235987,0.0,0.2610701745517998,-0.310670821767281,0.03088152553395308,-0.00838552832370773
Algeria,1992,0.13539199000000002,-0.09986097344798466,0.22243637013155032,-0.03631344509839575,0.02574735033331009,-0.0032157028606984417,0.02659839094221855
Algeria,1993,0.022470562999999943,0.044019488783677015,-0.021548925783677224,-0.043105324605572606,0.018760186225136793,0.10269671605441211,-0.07835157767397632
Algeria,1994,0.04322333399999989,-0.013705947373840635,0.11803551934446034,0.11846252337455912,-0.2031629598917052,0.0028639025986607154,0.020730295947865737
Algeria,1995,0.021821048000000065,0.022936443183089694,-0.0274271937271069,0.047598767496279684,-0.04338342917098195,-0.01942265717399521,0.04151911739271472
Algeria,1996,0.0025028719999999893,0.03629599939319131,-0.08880620087737355,-0.08104032089411874,0.11552435601968639,0.030877788895404584,-0.010348750536790394
Algeria,1997,0.007758260000000128,0.03362582792905402,-0.12845386029234188,0.07219347140805148,0.010734121118287188,0.07306311700421535,-0.05340441716726596
Algeria,1998,0.03030854099999991,0.002587910894732056,-0.03807913286345286,0.06554894234046794,-0.01769972547540277,-0.025662670486452835,0.04361321659010844
Algeria,1999,0.027372627999999954,-0.0032309456411400038,0.03060357364113982,-0.011386169240803287,-0.005635236970723139,0.006104916249906773,0.01091648996161985
Algeria,2000,0.11626495299999995,-0.05326193674317175,0.03896701722049711,-0.02280384653504567,0.1352997417442892,0.06491191156066771,-0.04684793424723681
Algeria,2001,0.018131825000000212,0.022931182345227077,-0.0047993573452267835,-0.1098610868534573,0.0912003177593017,-0.030662075418229354,0.04932284451238492
Algeria,2002,0.13453602099999995,-0.07696938311021255,0.0955958123574998,0.06612217549982272,0.030477989555653104,-0.030924828536938728,0.05023425523417603
Algeria,2003,0.15480440799999995,-0.019913105517028257,0.1747175135170285,-0.280123794146254,0.25878117680513263,-0.0451645558137348,0.0665071731548561
Algeria,2004,-0.10718307000000005,0.1406925693897947,-0.24787563938979487,-0.35819351119005594,0.3356705870685231,-0.04228210801798829,0.06480503213952143
Algeria,2005,-0.07109706699999996,0.029908566296684848,-0.10100563329668467,-0.2304020705050969,0.2097819932008572,-0.049701673510456026,0.07032175081469572
Algeria,2006,0.4616531130000001,-0.3001197108375088,-0.07087174241157261,0.5957802347941467,0.21241187272852624,-0.038630916085494404,0.06308337481190318
Algeria,2007,0.16245110799999973,0.03512039721429397,-0.029044305824985205,-0.13899471233859154,0.26251585823441165,-0.06771604377906576,0.1005699144939362
Algeria,2008,0.15919225500000023,0.005580155751957063,-0.044505806843424846,-0.315857511496597,0.47673510554466425,-0.08057791871803029,0.11781823076143168
Algeria,2009,0.23407876500000002,-0.018376851877865252,0.03080928779948081,0.6546688778833073,-0.4756714705452336,-0.10866266757508931,0.1513115893153999
Algeria,2010,0.3416369279999998,-0.06845125343928607,0.28756919282855875,-0.32405847206050176,0.3971189878690296,0.11598480308268329,-0.0665263302804838
Algeria,2011,-0.10356886099999985,0.18512275452692867,-0.14592792587386813,-0.7145663368365296,0.5189649858088616,-0.10135274971900494,0.15419041109361215
