Countries,Region,Start_Year,End_Year,ΔTotal,Δtotal_CE/energy_consumption,Δenergy_consumption/GDP,ΔGDP/Population,Δbuilt_surface/Population,Δcement_CS/built_surface
Algeria,Africa,1975,1980,-26.73514762304069,-2.5995604609483465,-5.2779853748365095,71.11830558720986,7.890033025552148,-97.86594040001785
Algeria,Africa,1980,1985,1.6620863736425662,1.3702993768698086,5.26583580997088,10.920952312069327,6.494849574819282,-22.389850700086797
Algeria,Africa,1985,1990,-6.010294841302027,-4.113439210058753,8.32494191629112,-5.315407528575448,4.876663903254361,-9.783053922213233
Algeria,Africa,1990,1995,-13.021165450168468,-0.19095635722395687,24.681682992255006,-31.52401697020293,0.915694120930122,-6.9035692359267395
Algeria,Africa,1995,2000,-9.595745337017952,0.23320791771782817,-16.189702187518986,9.912026789104637,-0.7043549067197282,-2.8469229496016837
Algeria,Africa,2000,2005,5.619701147665637,0.24955952351453642,-23.08998077277389,29.595722256789397,-1.008144848207039,-0.12745501165734419
Algeria,Africa,2005,2010,-18.722983654479222,1.1499548623448808,-13.76633584367665,17.77907925117121,-0.07812188446202015,-23.807560039856654
Algeria,Africa,2010,2015,0.9239831821713409,-1.012263177034139,9.704441195080324,-1.5119360949050709,0.7022139613236041,-6.958472702293386
Algeria,Africa,2015,2020,4.05575744012981,-0.8839238485388045,6.574145487447707,-8.083783044611446,1.347950059117906,5.101368786714451
Argentina,Americas,1975,1980,-317.48636494573384,-18.6806039799914,42.02175572404682,-21.07924127546064,5.100309537819313,-324.84858495214775
Argentina,Americas,1980,1985,-46.27461318314363,-10.043397503981604,-5388.527851876528,5381.806489577048,2.1722357528854936,-31.68208913256667
Argentina,Americas,1985,1990,-9.261416801742172,-0.7315727626464806,-34.384179768120354,33.7274890799999,1.6006449416934634,-9.473798292668752
Argentina,Americas,1990,1995,20.01356816780097,-2.7234868290877983,-36.38713677220079,48.33113048719895,-1.4447077423453658,12.237769024235975
Argentina,Americas,1995,2000,-18.48578103760586,-0.8164184931761909,1.123085139755362,3.43605572466745,-2.0456426912309085,-20.182860717621605
Argentina,Americas,2000,2005,6.762563495084848,-1.9314664367292769,41.26039882662165,-35.20815982384455,-0.10783895681063282,2.7496298858477184
Argentina,Americas,2005,2010,-39.41784628589182,1.9635711004519256,-43.78046099451502,48.280251195347134,-0.7108949232430467,-45.17031266393286
Argentina,Americas,2010,2015,38.841085671304434,0.9876129208657437,-14.693061783826614,19.10105487825242,0.45155430508139793,32.99392535093149
Argentina,Americas,2015,2020,-9.838839282782658,-2.2381220719748525,24.74955118005415,-40.464478121852075,1.0633753433847015,7.05083438760539
Australia,Oceania,1975,1980,24.440513472182147,0.6677815328231794,-53.41968257679454,71.83396894326545,-6.987885309104184,12.346330881992122
Australia,Oceania,1980,1985,3.539894235119476,-0.31127873078567697,-30.16677663182552,23.353671427269653,-8.195674009665199,18.859952180126207
Australia,Oceania,1985,1990,23.896204675166587,0.6717966147213025,-83.3193284344665,101.96701449768992,-8.650303609392823,13.227025606614767
Australia,Oceania,1990,1995,27.585062460463774,0.2261498176345941,-13.570930300626175,27.773755997916247,-5.9024177455406175,19.058504691079644
Australia,Oceania,1995,2000,8.264957296135151,5.566887699230477,-0.13313997324271354,17.635391370009437,-9.547869199276303,-5.25631260058569
Australia,Oceania,2000,2005,-43.23091285492379,-0.5797166336669959,-106.47086641785762,111.15064231842723,1.8294992390594251,-49.1604713608858
Australia,Oceania,2005,2010,-31.274146545664564,-3.718292516239236,-90.11398233216863,85.69728527546076,5.213465391501626,-28.352622364219158
Australia,Oceania,2010,2015,-35.5841594176114,-8.13729498559308,-17.677950647811304,14.704049513412059,0.7641648535132586,-25.237128151132264
Australia,Oceania,2015,2020,-15.937280745985419,-10.017361037413952,0.8147468864576304,-13.354948778470556,-3.5287313203134785,10.149013503754901
Austria,Europe,1975,1980,0.9283428866945584,-3.0467831950613014,-31.405496376644518,39.13275778065108,-4.620635904605222,0.8685005823545026
Austria,Europe,1980,1985,-0.729485352525046,-2.5263636639029463,8.17562467012425,-9.23324768637895,-4.067136393198545,6.921637720831154
Austria,Europe,1985,1990,-4.985260414271977,0.21927565181422148,-41.98173328702673,44.28718900066239,-2.985592778303196,-4.524399001418639
Austria,Europe,1990,1995,-6.614433132371403,-1.6772945484382056,-12.924236156636988,15.315637754784314,-2.202924280455063,-5.125615901625456
Austria,Europe,1995,2000,-4.580175730326822,-1.0389020626251033,10.670860047382899,-8.345126664879238,-2.8677528101568326,-2.999254240048548
Austria,Europe,2000,2005,2.87756932776864,3.151827299149005,-15.29687336586519,17.45754541402524,-1.6554591372967273,-0.7794708822436952
Austria,Europe,2005,2010,-4.435212054772791,-3.266791418681789,-8.808667549370766,7.674307437857979,-1.9287044540022895,1.8946439294240547
Austria,Europe,2010,2015,-3.555677937817478,-1.8022572133760213,-1.2006581481763723,-2.049716696025671,-0.9584988946975415,2.455453014458147
Austria,Europe,2015,2020,-1.8306118583681439,-2.841455586472991,-3.6924310753530354,3.144162737085539,-0.5252046347908172,2.084316701163156
Azerbaijan,Asia,1975,1980,-3.1860209034671164e-11,0.0,0.0,-4.4595545460241335e-11,1.53409549509577e-11,-1.7324896951603412e-12
Azerbaijan,Asia,1980,1985,269.8573500309963,40.95411597824638,229.35584393188788,-0.7973559089109618,0.2892653434690833,0.05548068630397026
Azerbaijan,Asia,1985,1990,6.957065803750595,-6.63365323584151,-12527.078152447193,12534.636913346138,6.543677315789347,-0.5117191751405512
