Countries,Region,Years,CE_Start,CE_End,GDP_Start,GDP_End,pct_CE,pct_GDP,GDP_Decoupling_Elasticity,Decoupling_State
Iran,Unknown,2005 - 2010,409.1,504.4,0.226452,0.486808,0.2329503788804692,1.1497182625898648,0.20261518535482187,Weak Decoupling
Iran,Unknown,2010 - 2015,504.4,547.2,0.486808,0.408213,0.08485329103885819,-0.16144968858358946,-0.5255711038112407,Strong Negative Decoupling
Iran,Unknown,2015 - 2020,547.2,653.0,0.408213,0.239735,0.19334795321637416,-0.4127208099693052,-0.4684715394669675,Strong Negative Decoupling
Iraq,Asia,1975 - 1980,12.9,24.2,0.013458516763,0.052569,0.8759689922480619,2.9060024908927624,0.3014343569880949,Weak Decoupling
Iraq,Asia,1980 - 1985,24.2,35.4,0.052569,0.04842516129,0.46280991735537186,-0.07882666038920277,-5.871235887328862,Strong Negative Decoupling
Iraq,Asia,1985 - 1990,35.4,54.8,0.04842516129,0.180408,0.5480225988700564,2.7255012723572496,0.20107222272403455,Weak Decoupling
Iraq,Asia,1990 - 1995,54.8,85.9,0.180408,0.012894029888,0.5675182481751827,-0.9285285026828078,-0.6112017525961194,Strong Negative Decoupling
Iraq,Asia,1995 - 2000,85.9,80.1,0.012894029888,0.048364250944,-0.06752037252619338,2.750902655267678,-0.02454480619185097,Strong Decoupling
Iraq,Asia,2000 - 2005,80.1,75.7,0.048364250944,0.050065104668,-0.05493133583021213,0.035167581236177636,-1.561987884845009,Strong Decoupling
Iraq,Asia,2005 - 2010,75.7,92.4,0.050065104668,0.138517,0.2206076618229855,1.766737449538093,0.12486725850559321,Weak Decoupling
Iraq,Asia,2010 - 2015,92.4,116.8,0.138517,0.166774,0.26406926406926395,0.2039966213533357,1.2944786159564792,Expansive Negative Decoupling
Iraq,Asia,2015 - 2020,116.8,129.8,0.166774,0.180899,0.11130136986301382,0.08469545612625468,1.3141362589404795,Expansive Negative Decoupling
Ireland,Europe,1975 - 1980,23.2,27.4,0.009483808362,0.02174785564,0.18103448275862066,1.2931563787328249,0.13999426963042005,Weak Decoupling
Ireland,Europe,1980 - 1985,27.4,26.9,0.02174785564,0.021270013326,-0.018248175182481754,-0.021971927803361224,0.8305222621244087,Recessive Coupling
Ireland,Europe,1985 - 1990,26.9,31.2,0.021270013326,0.049305632408,0.15985130111524168,1.3180818766920974,0.12127569913669542,Weak Decoupling
Ireland,Europe,1990 - 1995,31.2,34.4,0.049305632408,0.069139823232,0.10256410256410255,0.40227028546908666,0.2549631585253749,Weak Decoupling
