,Countries,Year,total_CE,cement_CS,energy_consumption,Population,GDP,cement_production,built_surface,total_CE/energy_consumption,energy_consumption/GDP,GDP/Population,built_surface/Population,cement_CS/built_surface,CFP
66,Belarus,2005,57.3,0.51239044,1.02,0.09663915,0.030210091837,3.131,1178982528.0,56.17647058823529,33.763551779433804,0.3126071766670133,12199843727.930141,4.3460392994051223e-10,111.82878431533578
67,Belarus,2010,62.4,0.848827215,1.1,0.09483836,0.057231904543,4.5312,1250128384.0,56.72727272727272,19.22004883086737,0.603467885178529,13181674419.507044,6.78992034629301e-10,73.51319431952945
68,Belarus,2015,54.9,0.805420463,0.96,0.09461076,0.056454889147,4.638,1319052032.0,57.1875,17.00472739394289,0.5967068560383617,13941881790.189615,6.106055284102698e-10,68.16315517426827
69,Belarus,2020,56.0,0.797453467,1.03,0.09379952,0.061371755326,4.736,1373282304.0,54.36893203883495,16.78296464764212,0.654286453981854,14640611209.950754,5.806915771631468e-10,70.22353318077681
70,Belgium,1975,126.0,0.953602847,1.86,0.098007,0.065678189097,6.909575934,822843776.0,67.74193548387096,28.319903845901862,0.6701377360494659,8395765363.698511,1.1589111746529149e-09,132.13047800391058
71,Belgium,1980,136.1,1.076195775,2.04,0.09859242,0.126829,7.773893241,894668096.0,66.7156862745098,16.08464940983529,1.2863970678476093,9074410547.991417,1.2028994660831182e-09,126.46397910268696
72,Belgium,1985,114.2,0.93824718,1.96,0.09858308,0.086268264148,5.330297998,967924800.0,58.26530612244898,22.719826570724383,0.8750818512466845,9818366397.154562,9.6933891971773e-10,121.7163263949272
73,Belgium,1990,126.5,1.13421374,2.24,0.09967379,0.205332,6.8025,1042328320.0,56.47321428571428,10.909161747803559,2.0600400566688593,10457396272.38013,1.0881540089019168e-09,111.5310064926563
74,Belgium,1995,128.9,1.32382811,2.42,0.10136811,0.288026,8.0,1157520640.0,53.26446280991736,8.402019262149944,2.841386704358994,11418982163.128029,1.1436755978709806e-09,97.36913654145023
75,Belgium,2000,136.3,1.28617021,2.68,0.1025125,0.236792,8.0,1278286848.0,50.85820895522388,11.317949930740903,2.3098841604682354,12469570520.668211,1.0061671306501622e-09,105.97353207239966
76,Belgium,2005,136.2,1.355202368,2.72,0.10478617,0.385715,7.0,1376649472.0,50.073529411764696,7.051838792891125,3.6809724031329707,13137701969.639696,9.844207952451095e-10,100.50159534550045
77,Belgium,2010,133.5,1.514315536,2.75,0.10895586,0.481421,8.722477000000001,1478254464.0,48.54545454545455,5.712256008774025,4.418495710097648,13567461759.284906,1.0243943602933034e-09,88.15864119880494
78,Belgium,2015,115.2,1.586085715,2.37,0.11274196,0.462336,6.4,1573468032.0,48.60759493670886,5.126142026578073,4.100833443023343,13956365775.439774,1.0080190272337228e-09,72.63163580033883
79,Belgium,2020,105.3,1.725732047,2.39,0.11538604,0.526022,6.82,1635817600.0,44.05857740585774,4.543536201907905,4.558801047336402,14176910829.074297,1.0549660591743236e-09,61.01758391927226
80,Brazil,1975,145.1,3.103459915,2.88,1.08700515,1e-22,16.6888,8442235904.0,50.38194444444444,2.8799999999999996e+22,9.199588428812872e-23,7766509573.5746975,3.676111340989128e-10,46.75426909775311
81,Brazil,1980,185.2,4.942792585,4.15,1.22288383,1e-22,26.4844,9262920704.0,44.62650602409638,4.15e+22,8.17739163334918e-23,7574653026.5266485,5.336105903255286e-10,37.46869746507884
82,Brazil,1985,185.0,5.046317156,4.94,1.3678318,1e-22,27.028599999999997,10111381504.0,37.449392712550605,4.94e+22,7.310840411810867e-23,7392269651.868014,4.99072965845835e-10,36.66039891686903
83,Brazil,1990,206.4,4.793626038,5.64,1.50706446,0.38496,24.987849999999998,10984167424.0,36.59574468085107,14.650872817955111,0.2554369837637867,7288452296.194417,4.3641232448133523e-10,43.0571760007617
84,Brazil,1995,253.6,4.823705766,6.89,1.63515328,0.769333,25.5,12334959616.0,36.806966618287376,8.955809772881183,0.4704959525262366,7543610600.224586,3.9105971289464493e-10,52.57368759668249
85,Brazil,2000,319.4,7.027333056,8.48,1.7587372,0.655448,39.208,13781760000.0,37.665094339622634,12.937715882877056,0.3726810350062534,7836167905.017305,5.099009891334633e-10,45.45109751519367
86,Brazil,2005,345.3,6.277302616,9.28,1.86797334,0.891634,36.673,14709169152.0,37.209051724137936,10.407857932739217,0.4773269408652267,7874399937.635084,4.267611957638326e-10,55.00770332783969
87,Brazil,2010,410.6,9.755773052,11.47,1.96353492,2.20884,59.117703999999996,15695682560.0,35.79773321708806,5.192770866155992,1.1249303373733734,7993584631.5379,6.215577446031121e-10,42.08789993488258
88,Brazil,2015,494.8,11.16917673,12.66,2.05188205,1.80221,65.283,16648682496.0,39.08372827804107,7.024708552277481,0.8783204668124076,8113859417.991399,6.708745111022148e-10,44.300489817748634
89,Brazil,2020,408.4,10.78675689,12.22,2.13196304,1.47611,61.052,17389981696.0,33.42062193126023,8.27851582876615,0.6923712898887778,8156793232.212881,6.202856954404468e-10,37.86124079412714
90,Bulgaria,1975,75.1,0.815380709,0.96,0.08720742,1e-22,4.355414,545848128.0,78.22916666666666,9.6e+21,1.1466914168542083e-21,6259193632.835372,1.4937867644386242e-09,92.10421484229643
91,Bulgaria,1980,89.1,1.000297219,1.21,0.08861535,0.019839230769,5.357649,581269696.0,73.63636363636364,60.99026792362829,0.2238802957839697,6559469617.848375,1.7208831389001224e-09,89.07352565577811
92,Bulgaria,1985,84.9,1.028962586,1.21,0.08960547,0.017155421053,5.2143429999999995,617230976.0,70.16528925619835,70.5316410633014,0.19145506466290507,6888318045.762161,1.6670624547527569e-09,82.51028866855223
93,Bulgaria,1990,74.4,1.006712856,1.17,0.08718289,0.020632090909,5.5327,653688320.0,63.5897435897436,56.70777650023004,0.23665298212757113,7497896892.383356,1.5400502429047532e-09,73.90389380306077
94,Bulgaria,1995,58.9,0.858229815,0.98,0.08406067,0.01899148442,2.1,701993856.0,60.10204081632653,51.60207482085805,0.2259259225509385,8351038077.617035,1.222560294031975e-09,68.62963622395245
95,Bulgaria,2000,43.4,0.412665235,0.78,0.08170172,0.013245990274,1.7,751325568.0,55.641025641025635,58.88574458121333,0.1621262107333848,9195957783.997692,5.49249556485212e-10,105.1699932997748
96,Bulgaria,2005,48.3,0.596689793,0.85,0.07658972,0.029868657858,2.1,794971456.0,56.8235294117647,28.457924157189293,0.38998259633277155,10379610422.913153,7.50580147873888e-10,80.94658324413469
97,Bulgaria,2010,45.5,0.66195062,0.76,0.07395599,0.050760929303,3.0,840139328.0,59.868421052631575,14.972145120973652,0.6863667067806137,11359990286.114756,7.879057650780515e-10,68.7362450087289
98,Bulgaria,2015,45.9,0.644531236,0.81,0.07177991,0.050811995689,2.114,885857792.0,56.666666666666664,15.941117624225736,0.7078860323034677,12341305415.40105,7.275786721307069e-10,71.21454700141174
99,Bulgaria,2020,36.1,0.807143122,0.7,0.06934015,0.070368758395,2.0,930998080.0,51.57142857142858,9.94759629082411,1.014834239542314,13426536862.121008,8.669653991123161e-10,44.72564904046844
100,Canada,1975,398.1,2.004066306,8.24,0.23143275,0.17442,9.855724854,3206753280.0,48.31310679611651,47.24228872835684,0.7536530590419895,13856091153.909721,6.249518222992197e-10,198.64612204103392
102,Canada,1980,440.6,2.270317871,9.76,0.24515667,0.274777,10.699148520000001,3412238848.0,45.14344262295082,35.51971234855901,1.1208220441238659,13918604980.2357,6.653455318143075e-10,194.06974046587155
104,Canada,1985,403.5,2.186236701,10.29,0.25842116,0.366186,9.840016127999998,3622258176.0,39.2128279883382,28.100473529845484,1.4170124458848494,14016879175.064457,6.035562885841078e-10,184.563729908768
106,Canada,1990,444.8,2.352433907,10.83,0.27691138,0.596076,11.249521000000001,3836159488.0,41.071098799630654,18.16882410967729,2.1525875895746864,13853383302.629168,6.132263046827734e-10,189.0807638320612
108,Canada,1995,471.5,2.068547648,12.17,0.29302311,0.605961,10.722,4138622976.0,38.74281018898932,20.083800772656986,2.067963171915007,14123879089.263643,4.99815436195945e-10,227.93770327498882
110,Canada,2000,533.1,3.213610397,13.13,0.3068573,0.744773,12.612,4461860352.0,40.601675552170605,17.629532756960845,2.427098850182153,14540505805.141348,7.202400217567365e-10,165.88818622744827
112,Canada,2005,555.0,3.121940606,13.66,0.32242732,1.17311,14.179,4733186560.0,40.62957540263543,11.644261833928617,3.6383703465326698,14679855788.895308,6.595853694809781e-10,177.7740418678548
114,Canada,2010,545.6,3.431732668,13.51,0.34005902,1.61734,12.431,5024856576.0,40.38490007401925,8.353221957040573,4.756056757441693,14776424915.88666,6.82951367087935e-10,158.98674307808875
116,Canada,2015,564.3,3.670454451,14.52,0.35704498,1.55651,12.167,5301511680.0,38.86363636363636,9.32856197518808,4.359422725954584,14848301970.244757,6.923411043017828e-10,153.74118042692473
118,Canada,2020,500.1,4.461663848,13.71,0.38028638,1.65568,13.0,5477326848.0,36.47702407002188,8.280585620409742,4.3537714918951345,14403163342.321121,8.145695832683673e-10,112.0882291982119
120,Chile,1975,18.0,0.241697539,0.31,0.10639531,0.007621570062,0.937838,761253184.0,58.064516129032256,40.67403402162676,0.07163445514656613,7154950570.659553,3.1749954427776816e-10,74.47324484342391
121,Chile,1980,22.1,0.290302775,0.39,0.11469828,0.029036709872,1.299731,812788608.0,56.66666666666667,13.431273781334147,0.253157326090679,7086319062.500327,3.571688531835328e-10,76.12741559222091
122,Chile,1985,20.2,0.29204825,0.4,0.12326396,0.017717662228,1.29701,865520000.0,50.49999999999999,22.576341892773105,0.143737571208973,7021679329.464995,3.374251894814678e-10,69.1666531129702
123,Chile,1990,31.7,0.37597555,0.56,0.13342868,0.033137824762,1.8049300000000001,919430912.0,56.60714285714285,16.899117670577052,0.24835608627770284,6890804225.898061,4.08922024583833e-10,84.31399329025518
124,Chile,1995,42.3,0.627209946,0.84,0.14416796,0.073444831671,3.0,1000267648.0,50.357142857142854,11.43715603792006,0.509439348874743,6938210459.522351,6.270421194308186e-10,67.44153256778871
125,Chile,2000,55.5,0.806104184,1.11,0.15351799,0.078339750722,3.491,1086351488.0,49.99999999999999,14.169051978975482,0.5102968760990162,7076379048.475036,7.420288855902961e-10,68.84966124924617
126,Chile,2005,63.8,0.848867883,1.29,0.16175311,0.122294,3.999,1189283584.0,49.45736434108527,10.548350695864066,0.7560534693892439,7352461934.116754,7.137640630209859e-10,75.15892788230273
127,Chile,2010,74.6,0.909598683,1.31,0.17004162,0.217051,3.871103,1297664768.0,56.94656488549618,6.035447890127205,1.2764580812626931,7631453805.250738,7.009504345270165e-10,82.01419086707274
128,Chile,2015,87.4,0.949699404,1.49,0.17870124,0.24245,4.3,1393321856.0,58.65771812080537,6.145597030315529,1.3567337305549754,7796934458.876726,6.81608057686278e-10,92.02911956339399
129,Chile,2020,85.1,1.424532703,1.59,0.19300315,0.254042,4.28,1434110336.0,53.52201257861635,6.258807598743515,1.3162583097737004,7430502227.5543165,9.933215508182488e-10,59.73888828300209
130,China,1975,1131.3,5.143255126,13.25,9.16395,0.16343,30.0217,20003450880.0,85.3811320754717,81.07446613228906,0.017834012625559937,2182841556.315781,2.571183920641597e-10,219.9579784174214
132,China,1980,1460.9,14.5167596,17.38,9.81235,0.191149,95.442703,24237015040.0,84.05638665132336,90.92383428634206,0.019480450656570548,2470052030.3495083,5.98949976968781e-10,100.63540626518332
134,China,1985,1821.7,20.38443276,22.14,10.5104,0.309488,142.4897,29861158912.0,82.28093947606143,71.53750710851472,0.029445882173846853,2841105848.683209,6.826403764191589e-10,89.36721573016683
136,China,1990,2308.8,28.13850501,28.58,11.35185,0.360858,203.168,36610764800.0,80.78376487053885,79.20012858243408,0.03178847500627651,3225092368.2043014,7.685855557434299e-10,82.05126744222864
138,China,1995,3009.2,56.73902746,37.27,12.04855,0.734485,445.61,43707842560.0,80.74054199087738,50.74303763861754,0.06096044752273095,3627643372.853995,1.2981429449900536e-09,53.03580506594745
140,China,2000,3328.0,78.41418309,42.48,12.62645,1.21133,583.19,52275802112.0,78.34274952919021,35.06889121874303,0.0959359123110613,4140182086.9682293,1.5000091805764925e-09,42.44130167345215
142,China,2005,6079.3,132.2022065,75.7,13.0372,2.28596,1038.3,60224356352.0,80.30779392338177,33.11519011706241,0.17534133096063573,4619424136.471022,2.1951618001079668e-09,45.984860320769315
144,China,2010,8121.7,242.0795863,104.6,13.37705,6.08719,1880.0,69965905920.0,77.64531548757171,17.183626599465434,0.4550472637838686,5230294117.16335,3.459965008911586e-09,33.54971034168526
146,China,2015,9171.3,309.1041959,126.49,13.7986,11.0616,2359.1883,80578813952.0,72.50612696655863,11.43505460331236,0.8016465438522749,5839636916.208891,3.8360479726610306e-09,29.670577499915456
148,China,2020,10130.9,359.1951756,149.45,14.111,14.6877,2394.7083,90125221888.0,67.78788892606224,10.175180593285537,1.0408688257387853,6386877038.338884,3.98551224701979e-09,28.204443400659077
150,Colombia,1975,34.0,0.663389572,0.56,0.23403731,0.013098633902,3.090149,914666880.0,60.71428571428571,42.75254993686746,0.05596814414761475,3908209678.191909,7.252799751533586e-10,51.25193617001866
151,Colombia,1980,38.1,0.882717858,0.69,0.26176195,0.033400735644,4.33546,1008260160.0,55.217391304347835,20.65822763170036,0.12759965932405376,3851820938.8339286,8.754862018945586e-10,43.16214932631396
152,Colombia,1985,42.5,1.060205614,0.79,0.2932626,0.034894419443,5.314113,1106311168.0,53.79746835443038,22.63972327410302,0.11898694017921141,3772425014.304586,9.58324967392899e-10,40.08656381251722
153,Colombia,1990,42.2,1.290285607,0.91,0.32601393,0.04784409071,6.6211,1208564736.0,46.37362637362637,19.0201127557389,0.146754743608655,3707095386.9977274,1.067618116403489e-09,32.70593717472972
154,Colombia,1995,57.7,1.543456052,1.17,0.35970101,0.092495970511,9.624,1314315008.0,49.31623931623932,12.649199673631824,0.2571468189955875,3653909695.722011,1.1743425606534656e-09,37.38363649890305
