Countries,Years,grad(cement_CS/built_surface),grad(cement_CS),CS_tapio_elasticity
Lithuania,2015 - 2020,0.24505663540471573,0.30000833597283455,0.816832754
Luxembourg,1975 - 1980,-0.123859775,-0.035890793,3.4510180611074537
Luxembourg,1980 - 1985,-0.020994256,0.069955061,-0.300110605
Luxembourg,1985 - 1990,1.2869007563489447,1.4846448831218593,0.8668071206650407
Luxembourg,1990 - 1995,-0.091233103,0.004634028,-19.68764665
Luxembourg,1995 - 2000,-0.650554099,-0.615160316,1.057535868211989
Luxembourg,2000 - 2005,0.075792205,0.1762298330392984,0.43007590724310174
Luxembourg,2005 - 2010,0.5023585738834209,0.6366125027603105,0.7891120135172129
Luxembourg,2010 - 2015,-0.01817651,0.061827738,-0.293986337
Luxembourg,2015 - 2020,0.3949099822061168,0.4849863186380373,0.814270356
Malaysia,1975 - 1980,0.48237142573144826,0.7321506898929799,0.6588417280627811
Malaysia,1980 - 1985,0.1533940481908383,0.3806939498866787,0.40293271862213503
Malaysia,1985 - 1990,0.022462793,0.2251048153093175,0.099788151
Malaysia,1990 - 1995,1.8381289587901068,2.4297789441824573,0.7565004887342038
Malaysia,1995 - 2000,-0.266921002,-0.096812771,2.757084612022626
Malaysia,2000 - 2005,0.32198050792618366,0.4264532514087339,0.7550194701589498
Malaysia,2005 - 2010,0.1940621252251466,0.30290014801637916,0.6406801927830448
Malaysia,2010 - 2015,0.1989557737140111,0.31027501048059375,0.6412239690390885
Malaysia,2015 - 2020,-0.261122196,-0.202454012,1.289785241427547
Mexico,1975 - 1980,0.22952976432394334,0.3585711762458766,0.6401232991648833
