Region,Start_Year,End_Year,CS_End,Delta_F5,Delta_CS,Pct_Delta_F5,Pct_Delta_CS,Total_Tapio_Elasticity
Africa,1975,2020,844.6,1.800514269568559e-08,618.8,0.28410274215302045,1.071162734338486,0.26522836637746994
Americas,1975,2020,1735.8,-1.1990852699659707e-10,891.9999999999999,-0.002740203100126022,0.6357170346508545,-0.0043104132039359045
Asia,1975,2020,16670.9,3.842826541104073e-08,14084.499999999602,0.5682579736959488,1.636594554019353,0.34721976331911286
Europe,1975,2020,2679.5,-5.872572785967791e-08,-743.7000000005,-0.7271807653396921,-0.20163925092264934,3.6063453023768934
Oceania,1975,2020,410.1,-5.26903058884298e-09,198.8,-0.07272730795405297,0.5779741830445402,-0.1258314126955536
