ISO_A3,NAM_0,year,total_vol,total_fp,building_height,total_surface_area
ABW,Aruba (Neth.),1975,21019846.0,2964148.0,7.091361834834158,3012983.943107263
AFG,Afghanistan,1975,932620101.0,198471799.0,4.6990056305178145,198736597.4019811
AGO,Angola,1975,2776787926.0,458229855.0,6.05981451383171,458748727.9289652
AIA,Anguilla (U.K.),1975,2883095.0,975942.0,2.9541663336550736,987615.6573091585
ALA,Aaland (Fin.),1975,5016801.0,1659864.0,3.0224168968060035,1675439.8089923128
ALB,Albania,1975,428009797.0,105325538.0,4.0636848871353495,105492357.51653759
AND,Andorra,1975,3815252.0,886126.0,4.30554119843002,902337.9583855338
ARE,United Arab Emirates,1975,1697138716.0,173339888.0,9.790814656578064,173855506.00767404
ARG,Argentina,1975,14036673962.0,2245207487.0,6.251838212403039,2246392425.9158983
ARM,Armenia,1975,979418786.0,136522688.0,7.17403678720419,136857982.1729489
ASM,American Samoa (U.S.),1975,8323856.0,1957979.0,4.251248864262589,1981773.7165114563
ATF,French Southern and Antarctic Lands (Fr.),1975,109673.0,43853.0,2.500923540008665,45947.88438784911
ATG,Antigua and Barbuda,1975,26038754.0,5934638.0,4.387589268292354,5977392.622226862
AUS,Australia,1975,16333159291.0,2252209967.0,7.252058880085757,2253586624.01103
AUS,Australia,1975,16333159291.0,,0.0,0.0
AUS,Ashmore and Cartier Islands (Aus.),1975,,2252209967.0,,
AUS,Ashmore and Cartier Islands (Aus.),1975,,,0.0,0.0
AUT,Austria,1975,2939101911.0,583203320.0,5.039583641259107,583690135.774776
AZE,Azerbaijan,1975,2276784543.0,399401292.0,5.700493685433546,399856990.0739123
BDI,Burundi,1975,323350115.0,66821829.0,4.838989291957273,66980053.53635454
BEL,Belgium,1975,4816027493.0,732630802.0,6.573607715991171,733342517.3980452
BEN,Benin,1975,1224351683.0,190761805.0,6.418222363748341,191116390.08379057
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",1975,141466.0,56585.0,2.500061853848193,58963.81903545936
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",1975,141466.0,197365.0,0.7167734907405061,198638.7288794157
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",1975,141466.0,159435.0,0.8872957631636718,160852.1643937481
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",1975,667077.0,56585.0,11.788936997437483,67802.22156360628
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",1975,667077.0,197365.0,3.37991538520001,203371.21520148995
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",1975,667077.0,159435.0,4.184006021262584,166117.57936386336
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",1975,630336.0,56585.0,11.139630644163647,67184.40392416067
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",1975,630336.0,197365.0,3.1937577584678136,203040.40728468585
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",1975,630336.0,159435.0,3.953561012324772,165749.51893244733
BFA,Burkina Faso,1975,935518232.0,187560089.0,4.987832096838043,187833327.5877506
BGD,Bangladesh,1975,2408858217.0,451756711.0,5.332202396435457,452210045.6588535
BGR,Bulgaria,1975,2453230570.0,492865271.0,4.977487184322224,493307283.1939017
BHR,Bahrain,1975,389371842.0,41986021.0,9.273844787530592,42226386.522564046
BHS,The Bahamas,1975,95107637.0,17628116.0,5.39522414079871,17718725.228591062
BIH,Bosnia and Herzegovina,1975,675516520.0,175946145.0,3.8393368607195115,176149852.0632162
BLM,Saint-Barth̩lemy (Fr.),1975,1204633.0,313108.0,3.8473402148779337,321719.2791013359
BLR,Belarus,1975,3469019326.0,674310285.0,5.144544586028374,674844648.5405587
BLZ,Belize,1975,44432656.0,10294899.0,4.315987558498631,10350291.532419026
BMU,Bermuda (U.K.),1975,25773694.0,5111057.0,5.042732648060861,5156658.727720766
BOL,Bolivia,1975,1910197588.0,340354477.0,5.61237685144362,340768641.19400185
BRA,Brazil,1975,47943279491.0,7316493562.0,6.552767262723384,7318735565.219681
BRB,Barbados,1975,119594990.0,16827735.0,7.107016482016148,16944351.538456365
BRN,Brunei Darussalam,1975,117494084.0,18096638.0,6.492591828382708,18207116.314951792
BTN,Bhutan,1975,28368123.0,9330428.0,3.0403881794061323,9367576.374035187
