ISO_A3,NAM_0,year,total_vol,total_fp,building_height,total_surface_area
ABW,Aruba (Neth.),2010,132840531.0,17840439.0,7.446034876159718,17966241.081177924
AFG,Afghanistan,2010,1915087371.0,447255592.0,4.281863447332817,447617810.55529135
AGO,Angola,2010,4723960963.0,882956921.0,5.350160184088981,883592832.287592
AIA,Anguilla (U.K.),2010,8297378.0,2848192.0,2.913208800530301,2867858.0090962765
ALA,Aaland (Fin.),2010,9150392.0,2897948.0,3.157541819245894,2919448.788972498
ALB,Albania,2010,878192667.0,206237463.0,4.258162674353689,206482068.38785598
AND,Andorra,2010,8698830.0,1951120.0,4.458377752265365,1976030.2935005554
ARE,United Arab Emirates,2010,3988838148.0,466759814.0,8.545804562343921,467498329.60572416
ARG,Argentina,2010,21338570395.0,3586616910.0,5.949498073101986,3588042132.9773493
ARM,Armenia,2010,1372040813.0,205025993.0,6.692033497430738,205409278.64972746
ASM,American Samoa (U.S.),2010,15631731.0,3884677.0,4.023946135032591,3916401.1216846285
ATF,French Southern and Antarctic Lands (Fr.),2010,205934.0,82343.0,2.5009290407199156,85213.61337298248
ATG,Antigua and Barbuda,2010,46570483.0,10705975.0,4.349952526509729,10762907.154736897
AUS,Australia,2010,25950233555.0,4218051638.0,6.152184890582413,4219649890.2193155
AUS,Australia,2010,25950233555.0,,0.0,0.0
AUS,Ashmore and Cartier Islands (Aus.),2010,,4218051638.0,,
AUS,Ashmore and Cartier Islands (Aus.),2010,,,0.0,0.0
AUT,Austria,2010,4591170364.0,1017817724.0,4.510798206536243,1018393360.5943035
AZE,Azerbaijan,2010,3925660436.0,717444197.0,5.471729303010865,718030441.3346092
BDI,Burundi,2010,963327165.0,236225173.0,4.0780038501654525,236475882.45376158
BEL,Belgium,2010,7963297749.0,1356307046.0,5.871308987507833,1357171962.0111263
BEN,Benin,2010,2889501208.0,562272250.0,5.138971749005931,562759676.9598885
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2010,297654.0,119047.0,2.5003066015943283,122497.74197514901
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2010,297654.0,409754.0,0.7264212185848095,411613.9878769353
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2010,297654.0,2325835.0,0.12797726407935214,2326615.696556286
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2010,1283225.0,119047.0,10.779146051559469,133923.5962193036
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2010,1283225.0,409754.0,3.1316960908252267,417772.64897962165
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2010,1283225.0,2325835.0,0.5517265842159913,2329200.6841112156
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2010,12884092.0,119047.0,108.22693558006502,268413.97331828775
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2010,12884092.0,409754.0,31.44348072257989,490264.4414028338
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2010,12884092.0,2325835.0,5.539555471475835,2359627.8139896276
BFA,Burkina Faso,2010,3226968472.0,752245504.0,4.289781002134112,752716128.9129941
BGD,Bangladesh,2010,7992935782.0,2135523299.0,3.7428464422480645,2136215152.5250156
BGR,Bulgaria,2010,3613574210.0,773860883.0,4.669539822185327,774380478.668558
BHR,Bahrain,2010,552802487.0,66122268.0,8.360307408088302,66394197.36516017
BHS,The Bahamas,2010,171907160.0,35613283.0,4.8270517492026785,35728508.32758927
BIH,Bosnia and Herzegovina,2010,1160449826.0,316216230.0,3.6697984350771624,316477262.3184723
BLM,Saint-Barth̩lemy (Fr.),2010,3385966.0,933867.0,3.625747563625227,947882.2248501509
BLR,Belarus,2010,5582222325.0,1127400169.0,4.951411644679291,1128065178.8420107
BLZ,Belize,2010,132853288.0,32302434.0,4.1127949677104825,32395934.659619506
BMU,Bermuda (U.K.),2010,32954823.0,6713063.0,4.9090590986558595,6763939.662420838
BOL,Bolivia,2010,3496308668.0,626380003.0,5.581769295403257,626938795.8184263
BRA,Brazil,2010,87746499596.0,14136160632.0,6.207237020027094,14139112684.359076
BRB,Barbados,2010,164938172.0,26561415.0,6.209690711131166,26689428.43895572
