ISO_A3,NAM_0,year,total_vol,total_fp,building_height,total_surface_area
ABW,Aruba (Neth.),2015,141418425.0,19076540.0,7.413211462875343,19206053.84106862
AFG,Afghanistan,2015,2163549050.0,515234584.0,4.1991533899052085,515615846.62502444
AGO,Angola,2015,5222882835.0,1012070833.0,5.160590212365106,1012727529.679311
AIA,Anguilla (U.K.),2015,8933629.0,3071074.0,2.908959211012174,3091465.199029901
ALA,Aaland (Fin.),2015,9852680.0,3101373.0,3.1768768219752994,3123751.829540917
ALB,Albania,2015,951791720.0,225026912.0,4.229679514955082,225280707.94766152
AND,Andorra,2015,9411413.0,2096436.0,4.489244126698836,2122436.0401643342
ARE,United Arab Emirates,2015,4370582069.0,531556543.0,8.222233601590716,532314814.1572649
ARG,Argentina,2015,22344623920.0,3776645429.0,5.916526806678944,3778099815.833867
ARM,Armenia,2015,1425138141.0,215922240.0,6.6002378495147145,216310183.30924022
ASM,American Samoa (U.S.),2015,16137539.0,4007499.0,4.026835440258376,4039743.8666212163
ATF,French Southern and Antarctic Lands (Fr.),2015,207013.0,82793.0,2.5003683886318893,85670.80127524011
ATG,Antigua and Barbuda,2015,49539493.0,11468018.0,4.3197955392117455,11526533.021097317
AUS,Australia,2015,27438189372.0,4553185269.0,6.026152627438802,4554811782.901453
AUS,Australia,2015,27438189372.0,,0.0,0.0
AUS,Ashmore and Cartier Islands (Aus.),2015,,4553185269.0,,
AUS,Ashmore and Cartier Islands (Aus.),2015,,,0.0,0.0
AUT,Austria,2015,4829002039.0,1084658472.0,4.452094519757736,1085244975.8586571
AZE,Azerbaijan,2015,4260477091.0,784070869.0,5.433790821018246,784679481.0775697
BDI,Burundi,2015,1173627520.0,308440856.0,3.805032625120195,308708159.3034839
BEL,Belgium,2015,8381342780.0,1447833855.0,5.788884374443641,1448714932.7423677
BEN,Benin,2015,3305919849.0,663138514.0,4.985262926532419,663652025.5135816
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2015,304054.0,121605.0,2.5003412688623,125092.66687437355
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2015,304054.0,438800.0,0.6929216043755697,440636.01998026954
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2015,304054.0,3082817.0,0.09862862440423807,3083509.6866854746
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2015,1366057.0,121605.0,11.23355947535052,137274.42631047807
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2015,1366057.0,438800.0,3.113165451230629,447048.8898228179
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2015,1366057.0,3082817.0,0.4431197181019827,3085929.110005128
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2015,17023047.0,121605.0,139.98640680893055,316868.72658410657
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2015,17023047.0,438800.0,38.79454649042844,541593.1039126846
BES,"Bonaire, Sint Eustatius and Saba (Neth.)",2015,17023047.0,3082817.0,5.52191291276777,3121598.3941046894
BFA,Burkina Faso,2015,3922551480.0,963698003.0,4.070311931527371,964203429.6805949
BGD,Bangladesh,2015,8802108811.0,2400246300.0,3.667168994698586,2400964952.3000135
BGR,Bulgaria,2015,3777948051.0,817853366.0,4.6193464599618705,818381784.7877856
BHR,Bahrain,2015,574005654.0,70123650.0,8.185621455814122,70397835.13445163
BHS,The Bahamas,2015,183361706.0,38609037.0,4.749191387498217,38727075.626554675
BIH,Bosnia and Herzegovina,2015,1242529544.0,339843694.0,3.656179490563094,340113298.4817192
BLM,Saint-Barth̩lemy (Fr.),2015,3583142.0,990250.0,3.6184216107043676,1004652.9543897202
BLR,Belarus,2015,5870905407.0,1193044095.0,4.920945865793837,1193723982.1399407
BLZ,Belize,2015,148432113.0,37130851.0,3.997541370651591,37228287.21605549
BMU,Bermuda (U.K.),2015,33298899.0,6775377.0,4.9146931602477615,6826547.909104151
BOL,Bolivia,2015,3709153993.0,668042591.0,5.552271730830408,668616618.6071497
BRA,Brazil,2015,92878529301.0,15048462400.0,6.171961415871963,15051490911.711607
BRB,Barbados,2015,175244076.0,29074716.0,6.027370172764543,29204716.671791255
BRN,Brunei Darussalam,2015,252711950.0,46818040.0,5.397747321331692,46965773.55752467
BTN,Bhutan,2015,82068916.0,25377766.0,3.233890485080523,25442930.639070377
BVT,Bouvet Island (Nor.),2015,0.0,0.0,0.0,0.0
BWA,Botswana,2015,2067239097.0,453379960.0,4.559617273335151,453768306.63062364
