,Countries,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030
44,China,256660915224.38336,313653158564.84955,391127646821.1337,485590432806.7829,584252567619.5321,705060743051.8469,816558117114.9886,954987392501.8356,1106581854293.1624,1243586834049.2693,1318889273479.0562,1372811854928.4016
45,Christmas Island,2302924.654745688,3042911.6357185803,3813562.232508236,4662099.330434601,4715605.565901815,4767877.381979183,4779250.965890848,4790775.424664358,4816531.606034221,4895273.978341897,4895273.978341897,4965273.070383215
46,Cocos (Keeling) Islands,228275.7829631192,292823.20825791644,357349.2833863088,427751.3789640244,431318.1285820291,434673.3477695775,437968.2874505749,441308.4285480797,445526.13019689417,453368.4945950465,453368.4945950465,453368.4945950465
47,Colombia,11899365027.079868,13181188298.077538,14535382438.546818,15957007999.48483,17450230861.565353,19045667686.579987,20088515389.403347,21198069948.168243,22302071993.73228,23308647267.554714,23632099344.95916,24129840389.058792
48,Comoros,208537615.53146964,240380550.91649085,279999191.51458645,326410453.72315353,326854643.9685307,327332951.0782842,336283119.1455315,346822119.9294423,356742340.37469906,361920973.2418208,362105573.84872526,368352175.7757492
49,Congo,1786730453.4318275,1937772047.131318,2134015044.917647,2363803873.9594398,2392847786.243163,2435841707.7121325,2561922657.832075,2729706753.8894825,3000154678.833168,3597171298.824618,3754600394.864128,3852374015.737994
50,"Congo, Democratic Republic of the",13723255414.311104,15795965467.278229,18680570518.514103,22088317967.0883,23588478855.16809,25618946361.96817,27621343837.48759,30373208325.65512,34346761647.851875,41544335569.72858,44338306359.54624,46215325766.99815
51,Cook Islands,11375893.07620477,12977917.191825235,14623976.362456853,16393891.709189093,17306712.22287262,18219126.73049958,18382473.29309229,18546103.436220504,18744093.359544333,19070042.99180061,19085705.85925209,19231657.05734802
52,Costa Rica,2035214838.390274,2326936421.7204704,2717599246.780315,3171878522.202331,3497002034.5601964,3908391539.234069,4153406583.135027,4470051025.063444,4875240292.155442,5464100057.737525,5902339604.872672,6137764208.351526
53,Croatia,3853007930.937015,4200199399.556568,4554694733.914731,4916105887.017636,5371266916.402936,5849291781.659295,6273852738.635328,6718160924.967711,7151619800.592161,7508250689.541788,7808648088.549178,8015058520.404088
54,Cuba,3188481332.197134,3528911384.9533296,3946828899.907482,4419618181.099726,4624804842.270466,4849115509.949485,4993498457.631882,5151002868.621331,5360700448.317841,5766407938.03472,5853412467.975877,6004975225.461793
55,Curaçao,74340565.13957769,94223213.44519833,122600780.54292049,162050327.67252412,193550687.61748236,236068261.54180405,279507375.22861075,335130904.6809191,405852884.34654814,498193794.36306506,515501992.4048764,523687150.7572289
56,Cyprus,962353751.069818,1013575568.8956448,1065380421.4449795,1117654583.7028277,1310610837.07542,1518164304.444266,1678727019.709894,1850189664.181008,2007620783.6044192,2078458519.628723,2154389481.847293,2200864414.559783
57,Czechia,11375535042.71956,12205523536.261976,13052073574.559668,13913290226.351809,14965435872.30089,16054829487.816204,17094102449.00846,18179261584.922928,19291687206.780064,20420441267.66576,21116513361.79956,21605481172.618217
58,Côte d'Ivoire,6488014484.23169,7523949129.279339,8827533633.06217,10282047439.88148,11145059353.244074,12315363529.290257,13422306520.88561,14942102595.051285,16785651004.80006,18788797453.182423,20094515464.49881,21044647794.745968
59,Denmark,6643814215.963431,7186366521.345882,7738791759.566094,8300184647.759605,8915947363.807972,9561299397.89275,10248169234.566591,10972957836.534874,11655878320.237837,12087121661.732803,12633066247.542322,13080864593.601068
60,Djibouti,40692414.80851067,52334845.7823562,68319877.21589172,87460653.66821471,128756218.596776,186959790.43059665,207192154.36573932,231809406.45900056,259232419.6808558,287273480.8889204,303828979.9280721,312708503.7824505
61,Dominica,24120913.15073112,29306132.678154998,36891699.40447012,46108144.14103124,47905075.94859591,50061257.11314465,54200093.58691892,59484722.13285103,65844893.908879824,74604874.10659637,74957561.66301218,78843413.54219972
62,Dominican Republic,2093087204.9774268,2331459363.7107143,2649251895.938138,3027487219.5060863,3512788178.775347,4180280824.497717,4469445493.766773,4847302062.997232,5549653154.605978,7499793472.93642,8247035112.596703,8672041017.749416
63,Ecuador,6374683748.264538,7273710983.751863,8230392941.556754,9239783866.265734,10017895195.150358,10846902122.320612,11661346063.790464,12529267249.568695,13339862487.594126,13845036060.59517,14068011982.417772,14332633376.723404
64,Egypt,14717657720.95736,17031134117.5906,20083376353.99111,23718524387.8192,26089925506.72213,29017816087.637177,31463002244.646305,34530012185.73666,38783743777.40969,46679528920.61419,49932581070.26166,51934161964.71922
65,El Salvador,1830045805.1005323,2037310166.3379865,2324452109.13955,2673189399.4585238,2982593828.1508718,3393391203.3809743,3666482793.536401,4034526461.891329,4493023307.163403,5060796021.695394,5514176840.136339,5749687009.980378
66,Equatorial Guinea,248638235.3153476,294606766.138817,358282017.1071804,434696752.6234678,436929709.4088424,439945472.86655504,512367555.1481228,628969147.1593784,769786415.4639391,856318417.0545492,897292382.2713629,926797264.7639602
67,Eritrea,252535306.3591605,302392853.42525697,373902795.1104669,455965109.7092532,514596724.1734621,600275642.4580413,702887779.151151,866183793.4754617,1116966680.489678,1583741841.9099386,1827163729.2454145,1953236282.839469
68,Estonia,1803881216.5811808,1948655751.550938,2096367756.2168615,2246956022.5011263,2345960093.4872355,2447956607.135052,2538516636.05854,2634192681.640192,2735534946.381484,2855088787.043074,2916692077.672305,2966172836.278265
69,Eswatini,252325351.11605123,308402028.27618426,397669398.1429646,512150731.4122085,612724512.859138,784695516.1188039,931632789.335554,1184888070.131603,1591667490.0944543,2400509508.0449047,2924441640.669542,3190749843.15156
70,Ethiopia,4433366687.318401,5332556662.03447,6562709816.21583,7979342958.473021,8988386120.848629,10294474213.01754,12373328799.272774,16065833212.570496,22560051567.112213,38162255661.7613,46471507142.06736,51282658221.34523
71,Falkland Islands (Malvinas),1901025.4915116576,2454966.725610263,3130537.668921427,3966202.6346116783,4009089.135822816,4050383.8622813984,4188620.7252748273,4365296.597098351,4526358.76850148,4630836.318160712,4630836.318160712,4705604.731579946
72,Faroe Islands,819722.7330074272,946066.9106658376,1072833.438305863,1206057.4242536137,1206057.4242536137,1206057.4242536137,1259235.903453503,1313936.2708497017,1369423.008214538,1434679.2666096704,1434679.2666096704,1434679.2666096704
73,Fiji,429532904.5073386,491722093.5508316,554911237.8812846,756348339.0581849,801866115.2329774,896551075.0794741,960293859.0292386,1024087620.18336,1075802702.078435,1201315625.6238854,1201315625.6238854,1201819005.315339
74,Finland,4291717043.007435,4628209593.815147,4973060104.946349,5324794589.734312,5816079670.895833,6336940569.854521,6755380236.413881,7199668090.667622,7637582802.858982,8006191236.683079,8270836412.193278,8464600453.049272
75,France,151434909422.71646,164418928856.00467,177722548175.24948,191309439106.87003,209343217506.3357,228349219342.59836,246409187824.40152,265326114949.9228,283409518715.291,296300780188.6905,307946689704.5545,316426960841.8444
76,French Guiana,126516029.98233308,135737624.91591,145368869.33334947,155417630.24705648,197000204.14639252,244695616.5778272,266347404.2971745,289444599.1605897,310841059.5401282,321967958.7487826,331632464.36939245,338765386.62519133
77,French Polynesia,137489484.3492279,153075736.6358771,169202547.98485276,186894337.37167317,194803604.46561748,202789525.4661628,205079766.2149636,207388085.1823938,209831335.48122525,212875236.0006917,212926950.6021956,214697472.5458021
78,French Southern Territories,665908.4523463695,842140.4880812588,1020259.447404813,1213459.4217277367,1227592.4977859915,1240295.658850686,1243173.7568033163,1246262.837786961,1253040.6764126995,1272855.2841352182,1272855.2841352182,1279379.1248832734
79,Gabon,1045739502.104266,1165755211.5197964,1320715021.0438385,1504457427.6264746,1514675859.4128666,1531393262.4195638,1628806288.1009605,1754764305.8955328,1911759221.0125828,2107728519.549437,2170632864.0391755,2212516365.115724
80,Gambia,606108168.7434199,695972994.5236965,820554957.639501,969925121.1795686,1119918684.0484755,1316416511.0984771,1401000089.8086786,1508370750.8669915,1621224382.796155,1678023430.1091197,1760108997.8782182,1800092343.289104
81,Georgia,4486545912.785285,4833762628.999424,5189070539.015861,5551341332.63485,5876359202.389312,6207914593.843204,6495532146.393761,6790833896.7442,7089681703.245354,7392745172.995971,7504692686.403381,7591081507.522585
82,Germany,78313848504.96219,84225432703.00172,90278033209.88118,96447515765.7012,105137239312.30553,114319534500.72289,121775689325.79073,129541150564.4452,137103419995.36812,143177800672.3041,148271048624.73642,152002113723.49646
83,Ghana,7756444502.413849,8955544870.875977,10631321328.18414,12644796757.843096,14596779117.984793,17083355171.684414,19529878091.807613,22754211804.14591,26308859181.76697,28840605854.649277,30974478251.91185,32378239251.93804
84,Gibraltar,8615661.329852313,9121350.242557568,9630209.420113198,10137725.356854212,10568060.964952936,11025175.161896268,11310352.14845501,11595035.950672273,11863266.077133304,12062084.391271304,12081975.430166593,12146199.305136826
85,Greece,9965529336.520794,10523129159.221872,11091915287.280603,11671143014.430716,12755012943.625212,13918427168.39152,14871454679.086342,15868919501.72719,16783865065.72491,17284011461.8761,17869338552.975777,18254246318.59549
86,Greenland,16229775.993773531,20564661.7183502,24961958.988311227,29647792.019636843,29690901.38165741,29730409.44582007,30022710.61725939,30315924.46646642,30705300.36573949,31437444.69961906,31442698.339884065,31516435.19184187
87,Grenada,52617013.73414844,62279630.70655129,75681023.39076695,92162645.79285724,92608225.66154842,93089064.49562769,97376689.750541,102155252.44393957,109650672.34868789,127918107.88412224,130057879.90118048,133870395.55735078
88,Guadeloupe,344090711.05809456,427877218.1173389,543478009.7725117,688059318.7558221,702451865.2287202,718472414.7588023,786308926.3315423,865215288.3957115,939152468.8998768,963529419.0457608,973696998.2413938,999306052.2160776
89,Guam,210722795.88971815,214167295.36420107,217781753.02063715,221536096.5033277,222869817.25049376,224201196.5113468,230474201.8172573,237032286.7470339,242731692.7909402,244335170.414707,247214019.05947697,249204168.90439543
90,Guatemala,4604188549.179312,5272703318.413602,6230688574.638691,7399225129.073588,8103247892.185229,9074315055.611609,9675854260.65164,10514690532.503183,11736496257.774616,13964500633.838669,15300065294.622477,16029888587.358992
91,Guernsey,52893586.28926586,54690457.076720245,56498560.572956935,58312010.88192343,61060587.56305234,63845481.46466336,66719871.65730584,69639492.30935155,72484770.31345417,74968540.39573537,75597526.37369357,76074260.24209373
92,Guinea,2842131630.153306,3377198757.067749,4140031566.896739,5034242729.671366,5590052944.557746,6326035403.746726,7006046213.014654,7899982681.533745,8894058700.611937,9660637861.118244,10360431411.939192,10823224792.40552
93,Guinea-Bissau,469900341.22843415,569603073.7226908,708674383.7115071,872188682.0210387,957594984.53591,1071358158.4169568,1150188398.4090524,1251003075.9767334,1356906869.640327,1424230609.063655,1507701663.565936,1566893123.5505824
94,Guyana,292546564.91713583,314407693.71117336,337400506.456044,361298658.6813845,499449964.9006509,664749260.0395701,711299022.6729302,759928079.236864,807400726.2633426,843583956.6836118,862325243.2920303,875109221.2411633
95,Haiti,1367370666.5919778,1523083549.4227126,1735881150.2972407,1994321477.7855651,2186994141.529064,2438105683.345616,2699297305.985497,3085173166.046925,3596491169.486261,4291420946.555208,4750616583.065006,5024593188.71486
96,Heard Island and McDonald Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Holy See,2821292.1683717207,2834296.871599735,2847093.433087101,2860084.377898691,2918622.759895284,2977004.4629343203,2983784.7016920666,2990607.0047372896,2997466.963659497,3003856.5101711494,3003856.5101711494,3003856.5101711494
98,Honduras,2216350487.452716,2527618571.840736,2942762820.054599,3422212699.8772044,3939002899.225569,4624747255.541524,5079104643.23195,5710280215.390776,6640568047.773458,8435980255.313305,9402117204.538689,9939250294.393051
99,Hong Kong,387794600.35245305,435388358.69288766,497724681.8433798,578196385.4717373,673894225.3397578,800444457.4202015,847575176.2164799,899068355.9998093,953602871.054738,1010873661.9182895,1051614387.7009856,1076245340.6727808
100,Hungary,11122454108.131962,11930028515.409285,12751797351.452637,13586479673.149464,14747129507.610037,15955337557.783993,16873575075.455303,17833483517.510254,18759100223.046528,19452495921.722984,20067413718.85944,20493399170.54513
101,Iceland,262231004.5482229,278885388.62387884,296404622.01533777,314673911.73976874,338634980.37498355,364572016.6074914,387418192.33500254,412172782.3532027,433266393.140182,437918643.9297954,443480166.3199551,450128287.9189543
102,India,124032049582.9774,154397397745.5756,197469391081.66687,249974359539.24475,285583342571.8005,329000579161.54553,366348561056.3575,415829984620.21,478145959305.8908,565385956812.993,627114902645.6315,665118002242.2292
103,Indonesia,55274218141.29319,67438298455.3233,83909420456.02094,103740970964.42662,112466126339.01218,123342831481.21184,131263460713.09946,140825564299.1148,150461707440.79977,155711707055.96225,162833457061.2478,168332209756.42645
104,"Iran, Islamic Republic of",28169859885.73397,29803436076.47935,31535786840.3668,33340362438.05059,37651335619.32332,42333929619.483215,47661343448.782646,53398209248.90096,58964255254.455696,62904896390.09919,64754141627.44215,65957400664.774666
105,Iraq,11141032716.713772,12034940375.249895,12949307991.796871,13880818575.62876,15046836664.698236,16268421726.539688,18122870362.591625,20118809256.382957,22085628792.072872,23664734364.762463,24107810345.786312,24399387714.94437
106,Ireland,5614822597.273074,6183468275.282727,6765882480.939513,7360630084.043527,7868232814.199236,8415147269.478014,9080236199.758512,9785416293.058607,10452153257.967129,10884391785.55923,11357147706.737682,11714149167.545631
107,Isle of Man,52851581.36220685,56764006.94714887,60732055.38307437,64735280.44461524,70537741.53861935,76856462.07290879,82124824.72143185,87736156.3875887,93157472.2170528,96976461.04445107,100888675.1993456,104468704.2774098
108,Israel,3371014622.546833,3518817849.9090266,3668581250.040068,3820296693.747064,4446703489.450137,5130619144.015139,5594476441.208522,6082512949.386006,6556325926.571193,6912956320.819529,7133682309.849586,7252390674.54689
109,Italy,57639093271.336,61531859582.4628,65502261888.0044,69539474930.2663,76102346190.73877,83006991506.17114,88492936313.79994,94240821636.18736,99611187453.52736,102969890759.64767,106837936603.14491,109435484745.3084
110,Jamaica,1209671502.8932943,1359460390.4373026,1574799490.0201647,1846458540.074814,2025936019.5735133,2256184996.0089207,2437453250.4542003,2667890247.245377,2943976585.655471,3279676282.8629665,3513311226.720372,3652076314.722846
111,Japan,120029589427.94884,124367280573.07623,128816753426.89648,133393715133.03082,144897354624.3561,157058911464.27225,166071848550.60947,175347005307.71185,184214223123.6189,190927924935.9153,193904584906.36465,195893217889.86667
112,Jersey,63057420.94612248,66408202.44289903,69812481.1514335,73241577.52363944,76780679.95217364,80451972.0828025,85322495.20352328,90383456.91737074,95150594.9057538,98475376.40043238,100494779.4337213,102148605.25201131
113,Jordan,2003159864.191409,2161020750.081078,2323254908.7590604,2489743333.5789595,2935808501.893099,3411228339.121663,3777837626.5129046,4160643408.134518,4545428694.863489,4898351725.261633,4990951159.259028,5055827345.992165
114,Kazakhstan,14308655565.143894,15912626152.541004,17890438006.694286,20139657506.37456,22523955213.664474,25184834561.47686,27380599135.208183,29881010067.527527,32487093182.23373,34685706068.254486,35469260983.669754,36062404901.04884
115,Kenya,5245620799.155477,6295272953.384499,7973590793.168813,10162117631.368675,11437508521.089403,13518817460.598034,16554817782.45164,22260337412.574192,31145059548.775974,45807084283.40292,54499885824.38259,59242471370.20577
116,Kiribati,6762976.661684692,7742481.605170639,8740444.107045125,9808652.611445587,10102923.72495474,10388025.877714744,10505596.882716896,10627839.516016874,10756662.808364987,10922784.268279327,10926705.225167004,10969474.773143848
117,"Korea, Democratic People's Republic of",2353088454.232722,2675316895.32008,3087744392.628712,3564708971.120271,3751384290.418565,3958434817.656736,4166989611.320532,4409030060.932925,4769156532.546088,5579068283.829131,5815691463.424726,6008891042.145483
118,"Korea, Republic of",14514253732.282991,16987043270.220123,20528934078.868217,25047779811.7279,29086022310.37156,34402287307.7265,38181772786.35822,42800822563.87252,47870690759.793335,52789897441.92328,55897536923.732376,57725098662.19438
119,Kuwait,1949619131.748972,2040642672.604306,2156849358.576981,2292222105.518216,2416416266.418951,2600491816.753551,2656584178.64054,2728369722.052336,2860076419.246377,3208418345.255676,3293561381.6504498,3345384722.8169465
120,Kyrgyzstan,2757520950.2557726,3307804542.8439937,4108917405.964479,5099973342.808925,5847623969.235204,6739854373.58005,7499548277.820182,8430361924.413253,9424058932.44962,10235968391.5393,10677989287.401878,10985663857.119986
121,Lao People's Democratic Republic,880297542.750567,1156666066.487877,1539756622.622801,2007967303.8448803,2352067845.6627,2814532812.0796647,3257474495.648537,3824382987.5733047,4468351418.518433,5093437256.543696,5566330297.541069,5855913074.24096
122,Latvia,2420467964.023376,2612411676.1950526,2808436394.3821425,3008245609.739982,3164390978.4565253,3324505098.1678543,3442636412.7230034,3566122400.006688,3689116096.084455,3808916609.782168,3886336277.830157,3949293447.641297
123,Lebanon,2337166568.5535965,2457631309.359847,2579703493.2954755,2703157323.1420383,3020594441.40179,3353967931.8667464,3606973524.6304655,3867599443.948713,4118967480.417481,4310762463.674655,4418733662.250297,4485589682.51584
124,Lesotho,901664810.6958,1017274683.3794332,1199854176.9693315,1425941158.8987374,1600337186.105665,1843039446.2508264,2041046600.1656072,2296618387.852953,2628436903.8292885,3143598440.587629,3425424914.388846,3578144995.7270465
125,Liberia,1037073451.6700093,1213390211.468509,1450387098.754598,1721813860.336581,1771978671.2327845,1837328273.838891,2073926743.006862,2397408822.38061,2750514785.2662954,2938720740.169761,3081710007.5265884,3197336793.228413
126,Libya,5318613241.689123,6047008114.63366,7086627846.068147,8379870002.035657,9095455535.049368,9959048585.62357,10771167343.439152,11747696276.394472,13014588338.54484,15026710409.138657,15706942160.1932,16117941561.765947
127,Liechtenstein,35022006.82799786,37782162.96462917,40583211.42834253,43430312.96054419,48496977.767467685,53731008.059939474,58674607.68123952,63757721.87425533,69537422.8013803,78083025.23200281,82791899.86907807,85096252.69990344
128,Lithuania,4136018552.127921,4440251265.190702,4750993247.341468,5067764108.978911,5447277343.703573,5844751193.329248,6164406164.857232,6497081354.44989,6829986165.784929,7150452565.878409,7359154757.370982,7519185289.144963
129,Luxembourg,441269218.8041126,488650321.1358572,537101624.7645284,586561314.3359786,651943039.4872531,721807840.6663817,792784871.6777716,867413582.3763363,941805823.4147742,1005778043.7532016,1065459475.2631718,1104642314.899156
130,Macao,35904424.294754624,38697484.29906521,42063518.70881797,46369953.47637966,51799447.15216101,60592065.56069194,64749011.73593471,69660221.05626129,75218649.42587398,81823073.88722466,84317860.2292261,85707122.07443993
131,Madagascar,3163022057.505161,4004117576.1655407,5193900473.074291,6561548048.16128,7059977224.493192,7679707746.605479,8390175196.35116,9400385534.952477,10624825710.54872,11957667410.595394,13449118649.380053,14515074830.084654
