Countries,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
France,2.09456,2.858778,2.464566,2.464566,2.568306,2.354404,2.330692,1.992302,0.073606,0.115911172,0.131584804,0.1510652,0.137579,1.68244544,1.23333028,1.4455675,0.73386664,0.752856,1.665768,1.90437,2.657226,3.182842,3.560752,4.013751457,4.270640313,4.599650146,4.81458077,5.249244465,5.525427367,6.163226198,6.626536076,6.915525507,7.001548309,7.671868983,8.249847844,8.958251091,10.63936075,11.04841138,11.51222678,12.15246896,12.54433189,13.60651549,14.32799872,14.2355497,14.82961252,14.97172661,15.75836618,14.13271795,14.13991855,13.80674877,13.36137776,13.68114263,13.75144507,13.2773722,12.24340548,11.42044441,10.54224228,10.64062958,10.79978337,10.77852858,11.52040199,10.89555285,10.84408,10.29756,9.2638,8.51864,8.70064,8.5618,8.36368,8.04232,8.61224,8.3148,8.48796,8.58156,8.56908,8.48276,9.4954853,9.1847728,9.21869,9.5681006,8.8092784,7.6563396,7.9406561,8.100626,7.5245902,7.3032251,6.9658695,6.6466558,6.5880672,6.4259676,6.6793272,6.8560429,6.2386565,6.4883024,6.256070485,6.171067865,6.086063207,6.001056818
Germany,3.814516,3.5441365,2.7747885,1.872013,1.454108,1.9792585,3.3356875,4.431807,5.805355,6.3466175,7.5525,7.5525,6.7212215,5.7142215,3.6690045,4.5682555,1.3068846,1.2733515,1.2733515,1.5085867,2.8101342,4.25961,5.4765695,6.971745261,7.490250888,9.118932196,9.661740091,11.08861812,11.71000048,11.61227617,11.70192835,13.78033042,15.07333129,16.32305179,17.13318463,17.45898959,19.83760625,20.25091655,20.73876525,19.48329121,20.64078332,21.39303726,23.31323323,24.66978217,25.49425146,24.7120585,22.29253214,21.15875769,22.17090453,21.35579688,22.22662984,22.65765471,21.93173351,19.65520297,18.59494034,18.58866076,17.60656859,17.56377691,16.40498434,15.85144732,16.09438565,16.84746746,15.2972681,13.741151,14.4439999,14.5312538,15.3406274,15.56239684,14.81107759,15.27496911,15.54456385,15.77109211,15.25287781,13.50401631,12.822649,13.50714782,14.0683376,13.04980409,13.34026055,14.44907401,13.57851562,12.55900674,12.43149218,13.39326499,13.28864051,12.50297911,12.90459232,12.62555406,12.66271437,13.40814825,13.22790086,13.28664029,13.35749132,13.64021702,11.75413835,9.918416794,9.918416794,9.918416794
Greece,0.074385,0.079515,0.09234,0.100035,0.100548,0.1026,0.127224,0.140049,0.14202405,0.14877,0.158004,0.158004,0.158004,0.032319,0.01539,0,0,0.028215,0.052839,0.093366,0.147744,0.167238,0.221616,0.222147258,0.305791519,0.382698742,0.438082442,0.579210259,0.635118923,0.628469379,0.687440333,0.740811671,0.839767381,0.94239784,0.951497215,1.176794257,1.370768448,1.647774442,1.840698705,1.769828567,2.092593921,2.482992135,2.486515104,2.826185781,3.045196428,3.278218226,3.530910019,3.93159548,4.344442119,5.229512802,5.54300292,5.912607676,6.366881661,6.254516675,6.181381563,6.785104515,6.42617699,6.388139191,6.269124449,6.15232689,6.063431372,5.789125237,5.7483702,5.7033666,5.8488858,5.8599828,5.9026968,6.3416142,6.3578682,6.3890424,6.3660978,6.3510534,6.5187342,6.5506212,6.2997372,6.3475542,6.3475542,6.843298,6.6118896,6.3785924,6.021542,4.5841396,4.2011192,2.4216601,3.103733,3.6654323,3.8337709,3.4737737,3.7557602,3.6858068,3.4050172,3.3431372,2.987218,3.1809232,3.419248929,3.419248929,3.419248929,3.419248929
Hungary,0.222585,0.2105675,0.1719025,0.15466,0.1029325,0.0945725,0.1175625,0.1463,0.1123375,0.20482,0.2063875,0.2063875,0.2063875,0.349724925,0.380479275,0.366424025,0.080094025,0.0200013,0.085475775,0.10923385,0.0757625,0.3344,0.418,0.495475263,0.56409324,0.553845101,0.503762889,0.61390811,0.51989257,0.516773571,0.68029823,0.748737979,0.820831412,0.837050207,0.902905642,0.939442487,1.17924895,1.245104385,1.358992404,1.387776309,1.463523426,1.339743725,1.447787413,1.405657579,1.524533299,1.737697641,1.740609765,1.88864613,2.142162328,2.284175486,2.335972988,2.363237923,2.245769615,2.217155923,2.07251744,1.995719747,1.933046809,1.700442699,1.762650383,1.886991514,1.744126631,1.721743758,1.765698,1.0956849,0.859329,1.0295964,1.1718565,1.1956464,1.1186945,1.1797758,1.2215394,1.226124,1.3418593,1.3618908,1.4241577,1.4019512,1.2972752,1.1998311,1.2918708,1.3400868,1.2588636,0.9791444,0.7309116,0.5657838,0.679626,0.5192922,0.569296,0.6788814,0.6994191,0.601142226,0.60367259,0.903701482,0.831405364,0.903701482,0.867553423,0.825681145,0.825672527,0.825666624
Ireland,0,0,0,0,0,0,0,0,0,0,0.057368338,0.13611942,0.141856254,0.153329922,0.10534913,0.131415216,0.116048325,0.100133826,0.156459104,0.151765331,0.207569077,0.236253246,0.231559473,0.222194297,0.239895124,0.245413208,0.310726284,0.348946906,0.372079169,0.272255278,0.271738822,0.275919419,0.29726715,0.403650008,0.472496439,0.41779288,0.507453349,0.548636679,0.580480377,0.67698991,0.705097755,0.663914425,0.447957538,0.785495916,0.783858935,0.825055339,0.877871394,0.822849713,0.828915688,0.836440488,0.958029408,1.099895948,1.171803678,1.034330254,0.845315968,0.796518463,0.739712303,0.752002029,0.754060619,0.782600202,0.912474094,0.868602428,0.884,0.782,0.753,0.729,0.859,0.879,0.983,1.145,1.059,1.166,1.700904,1.85119,1.859797,2.126951,2.295081,2.35705522,2.347851171,2.374056297,2.106733266,1.326775768,1.105108953,0.966273481,1.177021555,1.111746418,1.461121645,1.652014476,1.79352413,1.839605423,1.91604295,1.892599319,1.769640443,2.102809013,1.984464372,1.814909313,1.649375173,1.547619486
Italy,1.5551158,1.7673838,1.7598028,1.5551158,1.579375,1.7961916,2.0680968,2.1206584,1.9503386,2.203095205,2.328607252,2.42592,1.411859159,1.411859159,1.133773423,0.86533931,0.682266246,0.577707073,1.0204026,1.410111991,1.588880563,2.040047605,2.528792148,2.819098704,3.361972382,0,0,0,0,0,6.480780799,7.278799934,8.093541439,9.112916497,10.18745814,11.16338951,11.54343557,10.45932597,11.30785701,13.27799368,14.89187489,15.91935254,16.71318379,15.95247604,16.66841437,17.96270677,17.83284278,16.69312963,17.58459003,18.1255823,18.00980936,19.00402715,20.12333448,19.37860184,18.38717473,18.01156153,17.21909823,18.05023284,16.12415866,16.58409479,16.34446032,15.97501777,15.84593494,15.69216354,16.427096,14.0652288,13.79122326,15.31015402,13.98754297,14.23261249,14.53838109,15.27730781,15.86211892,16.39448415,16.28877882,16.93840973,17.40793593,17.40321941,17.47386464,17.91398623,16.1272091,13.34068271,13.27601537,12.58328514,10.07146041,8.877182673,8.338586779,8.19615149,7.68049853,7.711493588,7.756716254,7.911519443,7.059192434,7.918826857,6.770889087,6.672641446,6.73738945,6.672641446
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024446105,0.03671805,0.043647054,0.049870054,0.059159574,0.061115263,0.064541867,0.050699554,0.07187996,0.073797871,0.076799818,0.079718378,0.079718378,0.095812151,0.09389424,0.102649919,0.112906573,0.112489636,0.099231035,0.100231684,0.108570427,0.103650569,0.089474706,0.093393915,0.101232333,0.119732133,0.128157728,0.15121725,0.174720224,0.191127961,0.167624987,0.146339274,0.142348203,0.152104155,0.155651773,0.151660702,0.167181534,0.168068439,0.172502962,0.16629463,0.155208321,0.190241056,0.248776766,0.275383907,0.270505931,0.539358276,0.514962513,0.520445475,0.432345712,0.487189365,0.434228061,0.428195158,0.442132594,0.443924408,0.465497453,0.49155325,0.428556174,0.443253943,0.389216849,0.42746961,0.419627197,0.415401866,0.410291107,0.38238609,0.357913815,0.370656428,0.389215312,0.381119054,0.371563684,0.359823,0.329477,0.351368,0.370699,0.369492058,0.3947935,0.39913937,0.350572,0.37656577,0.350224016,0.360331451,0.355239077
Netherlands,0,0,0,0,0.130302,0.18468,0.202122,0.18468,0.205713,0.226233,0.233928,0.277533,0.277533,0.236493,0.18981,0.183654,0.109782,0.118503,0.206561502,0.266381406,0.302155461,0.283192416,0.3041064,0.360125291,0.417083883,0.441669696,0.43825743,0.564773749,0.644305792,0.677203535,0.70073942,0.820781184,0.922361714,0.976258016,1.033741572,1.067601749,1.473836376,1.525195352,1.622663665,1.718032121,1.762741554,1.690908982,1.964458602,1.993545834,1.902066069,1.845545772,1.768431315,1.52882787,1.36615112,1.450344098,1.380490218,1.229812055,1.002588665,0.968610639,0.844064087,0.7829378,0.736566959,0.663021709,0.594465124,0.502966583,0.51831872,0.465825628,0.4158,0.49788,0.449,0.458,0.463,0.428,0.316,0.376,0.432,0.517,0.469,0.478,0.48879,0.433922,0.445866,0.420721,0.399936,0.402967,0.39893733,0.4162114,0.3481863,0.350954627,0.308087,0.274032,0.28230261,0.249423747,0.2389802,0.297968524,0.220412,0.006336617,0,0,0,0,0,0
Norway,0.154019678,0.154504016,0.155472694,0.106554494,0.113819573,0.107523171,0.120600314,0.127381054,0.140458197,0.155221322,0.160606683,0.188892058,0.11139788,0.151515647,0.180972153,0.150702927,0.155826745,0.068679215,0.211273829,0.228904239,0.25485268,0.286817575,0.282466277,0.340005034,0.341904965,0.365695405,0.372964706,0.387503308,0.44367518,0.479030416,0.499351417,0.547758353,0.557505825,0.594760993,0.683892536,0.696448601,0.74634244,0.776410913,0.884872188,1.00068537,1.112533479,1.206951787,1.263412761,1.314582865,1.275875803,1.310157844,1.264665344,1.334774802,1.281195491,1.100984317,1.489490121,1.039976873,0.988057678,0.865051615,0.838961664,0.757747045,0.68118077,0.745788613,0.81342425,0.759989866,0.660261786,0.634263077,0.634263332,0.591863659,0.653314415,0.837916022,0.845,0.875,0.863,0.9222,0.900082,0.8923045,0.8897321,0.8529602,0.875198,0.904099,0.716396,0.779915,0.80452035,0.86883,0.83263741,0.84193371,0.75402975,0.748928,0.725425,0.730642,0.727225,0.671513,0.684498,0.765640294,0.729763555,0.721713941,0.724706669,0.69856568,0.749582313,0.756232534,0.790413453,0.805372314
Poland,0.5517999,0.5065704,0.4181216,0.2743923,0.1779027,0.20654805,0.36233855,0.42364965,0.5266724,0.647841225,0.864110603,0.864110603,0.653315,0.15122031,0.15122031,0.15122031,0.15122031,0.15122031,0.703024733,0.764791646,0.916579335,1.10561,1.1940588,1.350902288,1.336759855,1.655435999,1.710205783,1.916256738,2.027767675,2.255417981,2.541952233,2.672062612,3.312843368,3.700774575,3.791286143,3.856598467,4.402839206,4.810912665,5.046105602,5.597403331,5.82968207,5.945307169,6.119743324,6.454444691,6.77414436,7.390084207,7.816597701,8.481982494,8.873527796,9.352823919,9.33213163,8.073238162,7.597745699,5.731588878,6.341047437,6.233759099,6.275335514,5.500779643,5.650894882,5.612604432,5.772806822,5.651948684,5.453461,5.414315,5.538101,5.14717,6.643182,6.666458,6.218924,6.738931,6.334246,6.177662,6.114182,4.9569381,4.670148,4.5658272,5.0700562,5.05714221,5.983742,7.050407,6.6929931,5.7572379,6.2214942,7.37939438,6.38430071,5.874227905,6.456416302,6.3418083,6.52968473,6.99648789,7.655328032,7.69245249,7.690636449,7.36551782,7.331392603,6.341825449,6.457598555,6.341825449
