Countries,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
France,4240,5787,4989,4989,5199,4766,4718,4033,149,234.638,266.366,305.8,278.5,3405.76,2496.62,2926.25,1485.56,1524,3372,3855,5379,6443,7208,8125.00295,8645.020877,9311.032685,9746.114918,10626.00094,11185.07564,12476.16639,13414.04064,13999.03949,14173.17471,15530.09916,16700.09685,18134.11152,21537.1675,22365.20523,23304.1028,24600.1396,25393.3844,27543.55363,29004.046,28942.37,30282.009,30706.485,32462.437,29242.587,29387.707,28823.553,28019.044,28819.018,29098.374,28223.119,26144.275,24498.977,22719.443,23037.8,23491.3,23554.79,25294.416,24035.5,24035.5,26507,21165,20464,21296,21000,19514,19780,19500,19527,20000,19839,19437,19655,20962,21277,22540,22300,21700,18300,18300,19270,19500,18018,16400,15600,16000,16900,16500,16500,16700,16900,16000,15782.60444,15565.20368,15347.79848
Germany,7576,7039,5511,3718,2888,3931,6625,8802,11530,12605,15000,15000,13349,11349,7287,9073,2595.6,2529,2529,2996.2,5581.2,8460,10877,13846.56457,14876.36721,18111.08678,19189.15609,22023.07471,23257.20056,23063.11056,23241.16852,27369.0773,29937.10285,32419.1694,34028.17206,34675.25242,39399.41658,40220.29106,41189.20606,38695.71243,40994.6044,42488.65394,46302.35,49475.943,51634.603,50549.831,46060.181,44162.737,46751.315,45500.562,47853.32,49299.078,48231.539,43693.818,41790.025,42238.99,40455.828,40815,38559.291,37690.385,38717.109,41010.005,37684,34396,37529,36649,40380,40000,31533,35945,36610,38099,38000,32118,31009,32749,31854,30629,33630,33382,33581,30441,29894,32779,32432,31308,32099,31160,32000,33991,33633,34185,35485,34000,30235,25513,25513,25513
Greece,145,155,180,195,196,200,248,273,276.85,290,308,308,308,63,30,0,0,55,103,182,288,326,432,433.0355904,596.084832,746.0014464,853.9618752,1129.064832,1238.048582,1225.086509,1340.039635,1444.077331,1636.973453,1837.032826,1854.7704,2293.94592,2672.063251,3212.035949,3588.106637,3449.958221,4079.130451,4840.140614,4847.008,5538.142,5998.898,6492.306,7030.157,7870.039,8743.48,10581.969,11277.638,12095.752,13097.08,12937.448,12857.632,14192.736,13517.928,13514.3,13338.342,13165.105,13049.916,12532.019,12516.6,11808,10668,12618,12636,12000,14700,14982,15000,14000,14500,14819,14282,14638,15039,15000,15674,16666.666,16500,16000,15000,7418,7500,5990,5560,5290,5000,6246,6580,5540,5450,5700,6000,6000,6000,6000
Hungary,426,403,329,296,197,181,225,280,215,392,395,395,395,669.33,728.19,701.29,153.29,38.28,163.59,209.06,145,640,800,948.278016,1079.604288,1059.990624,964.1395008,1174.94375,995.0097024,989.0403264,1302.006182,1432.991347,1570.96921,1602.009965,1728.049075,1797.976051,2256.935789,2382.974899,2600.9424,2656.031213,2801.001773,2564.102822,2770.885,2711.023,2963.169,3403.971,3436.623,3758.608,4297.366,4619.351,4762.657,4857.892,4654.724,4633.863,4368.112,4242.039,4144.083,3676.978,3844.773,4152.246,3871.983,3856.564,3990.8,11808,2236,2533,2813,3000,2747,2811,2999,2979,3000,3452,3510,3573,3349,3500,3724.153,3551.746,3544,3200,3200,1694,2000,2022,1610,1750,2000,1663,1670,2500,2300,2500,2400,2284.16452,2284.14068,2284.12435
Ireland,0,0,0,0,0,0,0,0,0,0,110,261,272,294,202,251.98,222.515,192,300,291,398,453,444,426.0428928,459.9830592,470.563622,595.797131,669.08265,713.437238,522.031518,521.041248,529.0572672,569.9901312,773.9722368,905.9807232,801.0902592,973.008288,1051.974605,1113.032794,1298.08345,1351.978387,1273.01207,858.929,1503.138959,1497.026941,1572.580909,1669.939513,1562.183292,1570.598369,1581.739037,1808.111921,2071.793316,2202.924969,1940.688177,1582.95636,1488.677762,1379.82599,1400.034545,1401.154056,1451.379865,1688.981171,1604.685909,1625,1600,1600,1600,1550,1500,1933,2100,2000,2000,2000,3450,3320,3830,4000,4000,4981,4700,3900,2600,2600,2103,2600,2000,2000,2500,2500,3300,4000,3700,3400,3500,3600,3260.396046,2992.117524,2780.22291
Italy,3077,3497,3482,3077,3125,3554,4092,4196,3859,4359.112,4607.454,4800,2793.548,2793.548,2243.319,1712.187,1349.953,1143.069,2019,2790.091,3143.808,4036.501,5003.546,5577.955488,6652.102061,0,0,0,0,0,12823.07242,14402.05764,16014.13027,18031.09715,20157.21832,22088.22618,22840.197,20695.14438,22374.07402,26272.2471,29465.52215,31498.52106,33069.22,31908.94589,33709.32778,36732.63102,36879.02962,34916.50341,37206.25905,38799.3565,39007.65592,41653.87028,44641.71878,43516.94769,41803.37735,41464.37309,40144.88299,42625.46232,38574.66232,40200.34631,40151.1247,39777.34566,36461.4,40806,41347,34771,33192,35000,33327,33721,35512,36000,36000,39804,41416,43433,46045,46404,47814,47541.637,43029.921,36317,36300,33120,33000,23100,21400,22000,22000,19300,19300,19200,20400,23500,18797,18704,18704,18704
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,75.1,89.272,102,121,125,132.0084864,103.6965888,147.0172032,150.939936,157.0798656,163.0492416,163.0492416,195.9660864,192.0433536,209.9514816,230.9295744,230.0768064,202.958784,205.0054272,222.0607872,211.9981248,183.0040128,191.020032,207.0520704,244.89,262.123,309.287,357.358,390.917,342.846,299.31,291.147,311.101,318.357,310.194,341.939,343.753,352.823,340.125,317.45,389.103,508.827,563.247,553.27,589.55,688,600,600,620,600,667,683,700,700,700,729,728,714,797,750,901,1081,1091,1000,1078,1319,1217,1093,1058,1080,1100,1200,1080,1150,1140,1150,1200,1166.56402,1148.266186,1183.268728
Netherlands,0,0,0,0,254,360,394,360,401,441,456,541,541,461,370,358,214,231,402.654,519.262,588.997,552.032,592.8,701.9986176,813.0290112,860.9545728,854.3029824,1100.923488,1255.95671,1320.084864,1365.963782,1599.963322,1797.976051,1903.037069,2015.090784,2081.095027,2872.975392,2973.090355,3163.087066,3348.99049,3436.143379,3296.118874,3829.354,4044.329226,4022.578648,4076.111411,4087.016718,3705.183791,3480.2642,3893.895721,3917.508877,3700.758204,3210.983365,3315.33184,3102.210559,3106.791918,3175.786068,3129.588155,3099.730353,2929.276451,3418.378351,3541.032153,3728.677,3546,3300,3400,3400,3400,3140,3230,3200,3200,3200,3380,3085,2450,2380,2400,2790,2700,2700,2700,2700,2318,2500,2050,2610,2260,2300,2030,2940,3440,2980,2500,2500,2500,2500,2500
Norway,318,319,321,220,235,222,249,263,290,320.481,331.6,390,230,312.83,373.648,311.152,321.731,141.8,436.211,472.612,526.187,592.184,583.2,701.9986176,705.9213504,755.0407872,770.049504,800.0669376,916.0433856,989.0403264,1030.996512,1130.940922,1151.066246,1227.98592,1412.013254,1437.937402,1540.951776,1603.033286,1826.970163,2066.08631,2297.015885,2491.95865,2608.532,2721,2647.533,2725.535,2637.556,2790.839,2685.627,2313.757,3138.22,2196.754,2092.449,1836.675,1785.883,1617.181,1457.549,1599.948,1749.603,1638.949,1427.618,1375.012,1378.64,1147,1266,1344,1444,1400,1664,1724,1676,1700,1720,1642,1631,1650,1420,1500,1695,1700,1700,1650,1650,1387,1500,1700,1700,1800,1850,1880,1680,1480,1440,1440,1530,1548.754121,1613.341941,1649.391733
Poland,1098,1008,832,546,354,411,721,843,1048,1289.108,1719.452,1719.452,1300,300.906,300.906,300.906,300.906,300.906,1398.915,1521.822,1823.857,2200,2376,2688.09529,2659.953946,3294.07223,3403.055981,3813.066835,4034.957069,4487.94743,5058.108115,5317.00848,6592.067194,7363.992787,7544.097389,7674.059232,8760.997325,9573.003014,10041.00209,11138.00285,11600.2031,11830.27991,12177.382,13078.94,13983.219,15545.073,16761.36,18548.15,19796.182,21295.453,21695.44,19172.166,18439.31,14222.667,16096.529,16196.299,16696.963,14997.245,15796.312,16096.529,16997.18,17096.95,16960.9,12012,11908,12228,13834,13884,13959,15003,14970,15550,14807,11918,10948,11653,12566,12646,14688.353,17119.936,17206.735,15537,15521,18993,15919,14539,15534,15206,15722,17145,18788,18653,18900,19000,18853,16606,16606,16606
