Years,Strong Decoupling,Weak Decoupling,Recessive Decoupling,Recessive Coupling,Expansive Coupling,Expansive Negative Decoupling,Weak Negative Decoupling,Strong Negative Decoupling
1975 - 1980,6,43,0,0,1,3,0,1
1980 - 1985,4,7,2,3,5,9,13,12
1985 - 1990,7,32,1,0,5,9,0,4
1990 - 1995,11,35,6,2,5,7,2,4
1995 - 2000,12,17,3,2,6,11,4,21
2000 - 2005,9,57,0,0,5,2,0,3
2005 - 2010,29,45,1,0,0,0,1,0
2010 - 2015,14,17,10,5,6,11,5,7
2015 - 2020,39,9,8,2,3,3,2,9
Total,131,262,31,14,36,55,27,61
