region,Year,total_CE,cement_CS,energy_consumption,Population,GDP,cement_production,built_surface,cement_CS/built_surface
Africa,1975,225.8,2.119211542,2.84,0.97603565,0.0790818403,13.67756,5084164576.0,4.1682591315077053e-10
Africa,1980,304.5,2.674162579,3.95,1.11629927,0.17515611781,17.36905,5721739744.0,4.673687896769881e-10
Africa,1985,445.4,3.647428738,5.65,1.2825678900000002,0.176442030224,24.061802999999998,6562161472.0,5.558273373130431e-10
Africa,1990,498.2,4.572604568,6.55,1.47181088,0.261255376617,29.97879,7545165056.0,6.060310853456829e-10
Africa,1995,537.1,5.994101002000001,7.1,1.63230062,0.31268982219999997,37.771,8327981184.0,7.197543881962739e-10
Africa,2000,587.8,7.380611773,7.819999999999999,1.7751367299999998,0.34939939793200003,48.543000000000006,9287151424.0,7.947121174235309e-10
Africa,2005,686.7,8.575558626,9.1,1.91481049,0.554367323626,62.0,10024061888.0,8.55497374399291e-10
Africa,2010,802.9,13.519796818,10.77,2.0735854299999996,0.914998,95.7,10934906176.0,1.236388918239951e-09
Africa,2015,843.9000000000001,15.526041036,11.620000000000001,2.27823915,0.9739850000000001,106.032,12040607360.0,1.2894732443131508e-09
Africa,2020,844.6,14.397321290999999,11.74,2.46407499,1.008336,91.7,13531450176.0,1.0639895283755874e-09
Americas,1975,843.8000000000001,9.081740698,16.0,2.7300177499999996,0.290871878436,45.384728854,21042319456.0,4.3159408909222866e-10
Americas,1980,1017.0,13.203190911,20.470000000000002,3.05808313,0.560672953758,67.19889952,22939396352.0,5.755683675542256e-10
Americas,1985,1011.5,14.434788012,22.82,3.3843799100000003,0.734649224949,73.18489612799999,25008166848.0,5.772029633253349e-10
Americas,1990,1142.3000000000002,15.187293471,25.22,3.7125886599999998,1.5062745750470001,78.187028,27212834624.0,5.580930351741368e-10
Americas,1995,1292.1,16.052932082,29.33,4.04130956,2.257169480311,83.417,30179451392.0,5.319159673742555e-10
Americas,2000,1510.8,20.724998071,33.37,4.35351546,2.673985029533,109.38799999999999,33461863040.0,6.193617506062209e-10
Americas,2005,1671.5,21.901352715999998,36.57,4.63866499,3.565287455061,117.51,35748810176.0,6.126456407408909e-10
Americas,2010,1813.2,28.844054712000002,40.01,4.89719675,6.074456328999999,151.274807,38301226176.0,7.530843680945658e-10
Americas,2015,1993.3999999999999,32.591125322,43.62,5.16072183,5.989713558,162.126,40939880960.0,7.960727915609456e-10
Americas,2020,1735.8,34.72741795,41.59,5.43724335,5.460026472,162.025,43416454720.0,7.998676578721811e-10
Asia,1975,2670.3,28.235055859,36.14,21.42019168,1.0706050336057,159.9359102754,56486971368.0,4.998507651446723e-10
Asia,1980,3234.1,47.219166179,45.44,23.528125460000002,2.15899112735,272.54680841009997,66188544076.0,7.134039105737286e-10
